len	base
116	A
116	A
112	A
112	A
113	A
113	A
106	A
106	A
110	A
110	A
102	A
102	A
67	A
67	A
105	A
105	A
83	A
83	A
95	A
95	A
41	A
41	A
76	A
76	A
89	A
89	A
112	A
112	A
124	A
124	A
52	A
52	A
86	A
86	A
59	A
59	A
115	A
115	A
107	A
107	A
50	A
50	A
97	A
97	A
115	A
115	A
52	A
52	A
110	A
110	A
117	A
117	A
89	A
89	A
108	A
108	A
71	A
71	A
117	A
117	A
55	A
55	A
94	A
94	A
85	A
85	A
55	A
55	A
102	A
102	A
43	A
43	A
105	A
105	A
115	A
115	A
40	A
40	A
47	A
47	A
46	A
46	A
44	A
44	A
41	A
41	A
85	A
85	A
50	A
50	A
102	A
102	A
62	A
62	A
46	A
46	A
77	A
77	A
85	A
85	A
86	A
86	A
126	A
126	A
67	A
67	A
100	A
100	A
117	A
117	A
116	A
116	A
105	A
105	A
87	A
87	A
117	A
117	A
88	A
88	A
109	A
109	A
115	A
115	A
109	A
109	A
54	A
54	A
124	A
124	A
102	A
102	A
101	A
101	A
55	A
55	A
46	A
46	A
115	A
115	A
105	A
105	A
44	A
44	A
104	A
104	A
108	A
108	A
69	A
69	A
71	A
71	A
126	A
126	A
113	A
113	A
87	A
87	A
40	A
40	A
91	A
91	A
42	A
42	A
88	A
88	A
89	A
89	A
103	A
103	A
90	A
90	A
87	A
87	A
113	A
113	A
42	A
42	A
108	A
108	A
112	A
112	A
110	A
110	A
91	A
91	A
76	A
76	A
76	A
76	A
86	A
86	A
73	A
73	A
115	A
115	A
111	A
111	A
42	A
42	A
45	A
45	A
116	A
116	A
121	A
121	A
113	A
113	A
119	A
119	A
126	A
126	A
110	A
110	A
70	A
70	A
80	A
80	A
86	A
86	A
50	A
50	A
91	A
91	A
73	A
73	A
51	A
51	A
93	A
93	A
121	A
121	A
86	A
86	A
87	A
87	A
53	A
53	A
58	A
58	A
44	A
44	A
115	A
115	A
42	A
42	A
89	A
89	A
46	A
46	A
47	A
47	A
40	A
40	A
112	A
112	A
46	A
46	A
102	A
102	A
68	A
68	A
112	A
112	A
45	A
45	A
112	A
112	A
109	A
109	A
57	A
57	A
105	A
105	A
114	A
114	A
51	A
51	A
115	A
115	A
42	A
42	A
43	A
43	A
43	A
43	A
111	A
111	A
95	A
95	A
112	A
112	A
46	A
46	A
111	A
111	A
81	A
81	A
73	A
73	A
103	A
103	A
110	A
110	A
44	A
44	A
79	A
79	A
67	A
67	A
47	A
47	A
112	A
112	A
115	A
115	A
117	A
117	A
122	A
122	A
69	A
69	A
108	A
108	A
77	A
77	A
80	A
80	A
87	A
87	A
112	A
112	A
108	A
108	A
69	A
69	A
71	A
71	A
115	A
115	A
45	A
45	A
107	A
107	A
50	A
50	A
108	A
108	A
124	A
124	A
107	A
107	A
96	A
96	A
77	A
77	A
68	A
68	A
133	A
133	A
108	A
108	A
108	A
108	A
115	A
115	A
67	A
67	A
72	A
72	A
80	A
80	A
105	A
105	A
110	A
110	A
95	A
95	A
115	A
115	A
56	A
56	A
111	A
111	A
115	A
115	A
110	A
110	A
69	A
69	A
71	A
71	A
112	A
112	A
76	A
76	A
77	A
77	A
64	A
64	A
56	A
56	A
55	A
55	A
159	A
159	A
80	A
80	A
89	A
89	A
101	A
101	A
114	A
114	A
53	A
53	A
47	A
47	A
52	A
52	A
114	A
114	A
80	A
80	A
58	A
58	A
64	A
64	A
111	A
111	A
115	A
115	A
129	A
129	A
112	A
112	A
88	A
88	A
105	A
105	A
84	A
84	A
43	A
43	A
76	A
76	A
146	A
146	A
45	A
45	A
111	A
111	A
115	A
115	A
76	A
76	A
103	A
103	A
64	A
64	A
42	A
42	A
101	A
101	A
43	A
43	A
112	A
112	A
48	A
48	A
102	A
102	A
81	A
81	A
96	A
96	A
46	A
46	A
116	A
116	A
104	A
104	A
74	A
74	A
42	A
42	A
95	A
95	A
128	A
128	A
40	A
40	A
102	A
102	A
53	A
53	A
52	A
52	A
112	A
112	A
258	A
258	A
47	A
47	A
44	A
44	A
100	A
100	A
85	A
85	A
109	A
109	A
129	A
129	A
44	A
44	A
45	A
45	A
40	A
40	A
110	A
110	A
105	A
105	A
104	A
104	A
44	A
44	A
128	A
128	A
110	A
110	A
112	A
112	A
42	A
42	A
112	A
112	A
102	A
102	A
101	A
101	A
94	A
94	A
108	A
108	A
80	A
80	A
105	A
105	A
128	A
128	A
45	A
45	A
64	A
64	A
76	A
76	A
107	A
107	A
45	A
45	A
117	A
117	A
110	A
110	A
95	A
95	A
104	A
104	A
112	A
112	A
129	A
129	A
117	A
117	A
105	A
105	A
55	A
55	A
73	A
73	A
192	A
192	A
47	A
47	A
113	A
113	A
128	A
128	A
113	A
113	A
102	A
102	A
110	A
110	A
67	A
67	A
47	A
47	A
42	A
42	A
110	A
110	A
91	A
91	A
52	A
52	A
108	A
108	A
103	A
103	A
76	A
76	A
115	A
115	A
76	A
76	A
122	A
122	A
111	A
111	A
112	A
112	A
46	A
46	A
106	A
106	A
43	A
43	A
166	A
166	A
110	A
110	A
81	A
81	A
124	A
124	A
110	A
110	A
116	A
116	A
40	A
40	A
42	A
42	A
128	A
128	A
117	A
117	A
105	A
105	A
104	A
104	A
113	A
113	A
129	A
129	A
105	A
105	A
91	A
91	A
116	A
116	A
94	A
94	A
166	A
166	A
55	A
55	A
43	A
43	A
121	A
121	A
116	A
116	A
108	A
108	A
120	A
120	A
116	A
116	A
72	A
72	A
123	A
123	A
59	A
59	A
128	A
128	A
108	A
108	A
111	A
111	A
110	A
110	A
128	A
128	A
67	A
67	A
111	A
111	A
115	A
115	A
94	A
94	A
115	A
115	A
63	A
63	A
120	A
120	A
80	A
80	A
128	A
128	A
57	A
57	A
115	A
115	A
129	A
129	A
94	A
94	A
109	A
109	A
93	A
93	A
81	A
81	A
45	A
45	A
150	A
150	A
76	A
76	A
116	A
116	A
65	A
65	A
117	A
117	A
87	A
87	A
92	A
92	A
85	A
85	A
116	A
116	A
126	A
126	A
126	A
126	A
116	A
116	A
130	A
130	A
75	A
75	A
79	A
79	A
71	A
71	A
74	A
74	A
76	A
76	A
53	A
53	A
42	A
42	A
41	A
41	A
108	A
108	A
142	A
142	A
76	A
76	A
128	A
128	A
44	A
44	A
124	A
124	A
44	A
44	A
42	A
42	A
42	A
42	A
203	A
203	A
108	A
108	A
40	A
40	A
72	A
72	A
85	A
85	A
111	A
111	A
113	A
113	A
49	A
49	A
116	A
116	A
104	A
104	A
115	A
115	A
128	A
128	A
86	A
86	A
105	A
105	A
76	A
76	A
184	A
184	A
80	A
80	A
71	A
71	A
69	A
69	A
55	A
55	A
46	A
46	A
44	A
44	A
128	A
128	A
80	A
80	A
124	A
124	A
40	A
40	A
48	A
48	A
114	A
114	A
91	A
91	A
86	A
86	A
43	A
43	A
41	A
41	A
112	A
112	A
126	A
126	A
80	A
80	A
121	A
121	A
122	A
122	A
46	A
46	A
111	A
111	A
124	A
124	A
69	A
69	A
90	A
90	A
80	A
80	A
118	A
118	A
109	A
109	A
105	A
105	A
84	A
84	A
91	A
91	A
43	A
43	A
44	A
44	A
128	A
128	A
117	A
117	A
61	A
61	A
116	A
116	A
101	A
101	A
102	A
102	A
44	A
44	A
128	A
128	A
105	A
105	A
80	A
80	A
116	A
116	A
94	A
94	A
118	A
118	A
115	A
115	A
128	A
128	A
94	A
94	A
92	A
92	A
42	A
42	A
40	A
40	A
42	A
42	A
113	A
113	A
47	T
47	T
107	T
107	T
129	T
129	T
122	T
122	T
102	T
102	T
91	T
91	T
102	T
102	T
66	T
66	T
76	T
76	T
41	T
41	T
52	T
52	T
116	T
116	T
112	T
112	T
112	T
112	T
101	T
101	T
94	T
94	T
116	T
116	T
124	T
124	T
112	T
112	T
112	T
112	T
83	T
83	T
115	T
115	T
78	T
78	T
60	T
60	T
104	T
104	T
55	T
55	T
45	T
45	T
62	T
62	T
40	T
40	T
105	T
105	T
84	T
84	T
75	T
75	T
83	T
83	T
75	T
75	T
108	T
108	T
86	T
86	T
111	T
111	T
83	T
83	T
79	T
79	T
40	T
40	T
111	T
111	T
121	T
121	T
115	T
115	T
44	T
44	T
67	T
67	T
43	T
43	T
112	T
112	T
97	T
97	T
107	T
107	T
66	T
66	T
43	T
43	T
129	T
129	T
129	T
129	T
71	T
71	T
69	T
69	T
93	T
93	T
77	T
77	T
44	T
44	T
108	T
108	T
117	T
117	T
112	T
112	T
50	T
50	T
46	T
46	T
112	T
112	T
40	T
40	T
43	T
43	T
126	T
126	T
114	T
114	T
59	T
59	T
52	T
52	T
59	T
59	T
132	T
132	T
86	T
86	T
112	T
112	T
71	T
71	T
72	T
72	T
46	T
46	T
115	T
115	T
111	T
111	T
117	T
117	T
95	T
95	T
119	T
119	T
108	T
108	T
71	T
71	T
69	T
69	T
55	T
55	T
108	T
108	T
44	T
44	T
46	T
46	T
79	T
79	T
74	T
74	T
77	T
77	T
64	T
64	T
111	T
111	T
95	T
95	T
105	T
105	T
111	T
111	T
63	T
63	T
135	T
135	T
88	T
88	T
105	T
105	T
107	T
107	T
98	T
98	T
71	T
71	T
112	T
112	T
108	T
108	T
80	T
80	T
109	T
109	T
128	T
128	T
112	T
112	T
77	T
77	T
42	T
42	T
80	T
80	T
115	T
115	T
93	T
93	T
113	T
113	T
104	T
104	T
73	T
73	T
89	T
89	T
46	T
46	T
112	T
112	T
111	T
111	T
191	T
191	T
91	T
91	T
49	T
49	T
115	T
115	T
102	T
102	T
95	T
95	T
116	T
116	T
113	T
113	T
107	T
107	T
116	T
116	T
81	T
81	T
115	T
115	T
76	T
76	T
126	T
126	T
113	T
113	T
107	T
107	T
43	T
43	T
112	T
112	T
111	T
111	T
115	T
115	T
88	T
88	T
71	T
71	T
43	T
43	T
42	T
42	T
124	T
124	T
54	T
54	T
66	T
66	T
112	T
112	T
112	T
112	T
128	T
128	T
80	T
80	T
76	T
76	T
76	T
76	T
184	T
184	T
50	T
50	T
47	T
47	T
43	T
43	T
109	T
109	T
120	T
120	T
108	T
108	T
91	T
91	T
51	T
51	T
96	T
96	T
93	T
93	T
43	T
43	T
44	T
44	T
117	T
117	T
45	T
45	T
80	T
80	T
112	T
112	T
119	T
119	T
109	T
109	T
54	T
54	T
118	T
118	T
93	T
93	T
77	T
77	T
43	T
43	T
108	T
108	T
77	T
77	T
104	T
104	T
105	T
105	T
113	T
113	T
40	T
40	T
40	T
40	T
116	T
116	T
80	T
80	T
108	T
108	T
65	T
65	T
88	T
88	T
93	T
93	T
96	T
96	T
129	T
