mutation	base
19	A
19	A
14	A
14	A
14	A
14	A
13	A
13	A
12	A
12	A
2	A
2	A
10	A
10	A
13	A
13	A
13	A
13	A
12	A
12	A
1	A
1	A
10	A
10	A
22	A
22	A
14	A
14	A
10	A
10	A
4	A
4	A
13	A
13	A
4	A
4	A
22	A
22	A
11	A
11	A
7	A
7	A
13	A
13	A
21	A
21	A
6	A
6	A
23	A
23	A
17	A
17	A
16	A
16	A
13	A
13	A
10	A
10	A
16	A
16	A
1	A
1	A
11	A
11	A
11	A
11	A
6	A
6	A
21	A
21	A
1	A
1	A
13	A
13	A
18	A
18	A
8	A
8	A
1	A
1	A
1	A
1	A
1	A
1	A
6	A
6	A
9	A
9	A
8	A
8	A
19	A
19	A
11	A
11	A
4	A
4	A
1	A
1	A
10	A
10	A
18	A
18	A
10	A
10	A
1	A
1	A
7	A
7	A
10	A
10	A
14	A
14	A
18	A
18	A
13	A
13	A
11	A
11	A
17	A
17	A
11	A
11	A
2	A
2	A
15	A
15	A
4	A
4	A
16	A
16	A
6	A
6	A
11	A
11	A
2	A
2	A
2	A
2	A
17	A
17	A
15	A
15	A
2	A
2	A
17	A
17	A
15	A
15	A
9	A
9	A
12	A
12	A
16	A
16	A
14	A
14	A
16	A
16	A
1	A
1	A
18	A
18	A
7	A
7	A
13	A
13	A
12	A
12	A
10	A
10	A
14	A
14	A
18	A
18	A
18	A
18	A
2	A
2	A
10	A
10	A
12	A
12	A
13	A
13	A
7	A
7	A
12	A
12	A
13	A
13	A
19	A
19	A
8	A
8	A
11	A
11	A
10	A
10	A
2	A
2	A
7	A
7	A
13	A
13	A
17	A
17	A
10	A
10	A
16	A
16	A
10	A
10	A
10	A
10	A
7	A
7	A
1	A
1	A
13	A
13	A
6	A
6	A
6	A
6	A
8	A
8	A
7	A
7	A
17	A
17	A
15	A
15	A
1	A
1	A
8	A
8	A
4	A
4	A
8	A
8	A
6	A
6	A
27	A
27	A
2	A
2	A
18	A
18	A
3	A
3	A
1	A
1	A
4	A
4	A
15	A
15	A
2	A
2	A
10	A
10	A
5	A
5	A
10	A
10	A
1	A
1	A
12	A
12	A
14	A
14	A
6	A
6	A
13	A
13	A
14	A
14	A
4	A
4	A
14	A
14	A
5	A
5	A
1	A
1	A
3	A
3	A
12	A
12	A
15	A
15	A
12	A
12	A
2	A
2	A
9	A
9	A
9	A
9	A
9	A
9	A
9	A
9	A
15	A
15	A
2	A
2	A
10	A
10	A
8	A
8	A
1	A
1	A
12	A
12	A
15	A
15	A
18	A
18	A
20	A
20	A
7	A
7	A
14	A
14	A
8	A
8	A
1	A
1	A
19	A
19	A
19	A
19	A
16	A
16	A
8	A
8	A
11	A
11	A
12	A
12	A
5	A
5	A
16	A
16	A
6	A
6	A
18	A
18	A
28	A
28	A
11	A
11	A
14	A
14	A
9	A
9	A
10	A
10	A
15	A
15	A
15	A
15	A
16	A
16	A
17	A
17	A
3	A
3	A
10	A
10	A
1	A
1	A
17	A
17	A
11	A
11	A
19	A
19	A
19	A
19	A
12	A
12	A
12	A
12	A
17	A
17	A
15	A
15	A
6	A
6	A
8	A
8	A
14	A
14	A
10	A
10	A
14	A
14	A
1	A
1	A
4	A
4	A
7	A
7	A
4	A
4	A
1	A
1	A
17	A
17	A
21	A
21	A
19	A
19	A
8	A
8	A
1	A
1	A
6	A
6	A
13	A
13	A
1	A
1	A
2	A
2	A
9	A
9	A
10	A
10	A
14	A
14	A
27	A
27	A
14	A
14	A
11	A
11	A
19	A
19	A
10	A
10	A
1	A
1	A
15	A
15	A
19	A
19	A
3	A
3	A
21	A
21	A
18	A
18	A
10	A
10	A
11	A
11	A
7	A
7	A
4	A
4	A
10	A
10	A
5	A
5	A
16	A
16	A
2	A
2	A
14	A
14	A
11	A
11	A
16	A
16	A
2	A
2	A
23	A
23	A
22	A
22	A
14	A
14	A
3	A
3	A
19	A
19	A
17	A
17	A
2	A
2	A
9	A
9	A
3	A
3	A
6	A
6	A
15	A
15	A
1	A
1	A
1	A
1	A
2	A
2	A
13	A
13	A
9	A
9	A
9	A
9	A
15	A
15	A
4	A
4	A
3	A
3	A
2	A
2	A
12	A
12	A
11	A
11	A
13	A
13	A
4	A
4	A
16	A
16	A
21	A
21	A
11	A
11	A
1	A
1	A
11	A
11	A
12	A
12	A
16	A
16	A
12	A
12	A
13	A
13	A
1	A
1	A
20	A
20	A
17	A
17	A
5	A
5	A
9	A
9	A
11	A
11	A
11	A
11	A
5	A
5	A
17	A
17	A
19	A
19	A
24	A
24	A
19	A
19	A
11	A
11	A
17	A
17	A
16	A
16	A
11	A
11	A
4	A
4	A
13	A
13	A
10	A
10	A
5	A
5	A
11	A
11	A
10	A
10	A
11	A
11	A
11	A
11	A
13	A
13	A
8	A
8	A
5	A
5	A
2	A
2	A
10	A
10	A
13	A
13	A
9	A
9	A
10	A
10	A
9	A
9	A
5	A
5	A
19	A
19	A
14	A
14	A
14	A
14	A
13	A
13	A
14	A
14	A
2	A
2	A
13	A
13	A
3	A
3	A
22	A
22	A
17	A
17	A
12	A
12	A
25	A
25	A
9	A
9	A
13	A
13	A
2	A
2	A
2	A
2	A
19	A
19	A
17	A
17	A
10	A
10	A
20	A
20	A
18	A
18	A
17	A
17	A
15	A
15	A
13	A
13	A
18	A
18	A
11	A
11	A
22	A
22	A
4	A
4	A
3	A
3	A
9	A
9	A
16	A
16	A
14	A
14	A
13	A
13	A
11	A
11	A
13	A
13	A
14	A
14	A
7	A
7	A
17	A
17	A
20	A
20	A
14	A
14	A
7	A
7	A
17	A
17	A
12	A
12	A
12	A
12	A
24	A
24	A
19	A
19	A
12	A
12	A
8	A
8	A
24	A
24	A
7	A
7	A
24	A
24	A
5	A
5	A
18	A
18	A
18	A
18	A
8	A
8	A
17	A
17	A
17	A
17	A
16	A
16	A
1	A
1	A
20	A
20	A
10	A
10	A
12	A
12	A
1	A
1	A
16	A
16	A
14	A
14	A
7	A
7	A
11	A
11	A
13	A
13	A
9	A
9	A
19	A
19	A
26	A
26	A
12	A
12	A
10	A
10	A
12	A
12	A
9	A
9	A
12	A
12	A
13	A
13	A
3	A
3	A
1	A
1	A
1	A
1	A
12	A
12	A
2	A
2	A
11	A
11	A
17	A
17	A
4	A
4	A
16	A
16	A
2	A
2	A
2	A
2	A
4	A
4	A
1	A
1	A
1	A
1	A
4	A
4	A
4	A
4	A
1	A
1	A
23	A
23	A
14	A
14	A
2	A
2	A
23	A
23	A
22	A
22	A
18	A
18	A
17	A
17	A
19	A
19	A
8	A
8	A
10	A
10	A
23	A
23	A
1	A
1	A
1	A
1	A
11	A
11	A
12	A
12	A
2	A
2	A
4	A
4	A
17	A
17	A
1	A
1	A
22	A
22	A
2	A
2	A
1	A
1	A
10	A
10	A
9	A
9	A
17	A
17	A
1	A
1	A
1	A
1	A
9	A
9	A
8	A
8	A
11	A
11	A
13	A
13	A
16	A
16	A
1	A
1	A
22	A
22	A
16	A
16	A
10	A
10	A
14	A
14	A
1	A
1	A
11	A
11	A
11	A
11	A
12	A
12	A
14	A
14	A
11	A
11	A
2	A
2	A
4	A
4	A
16	A
16	A
16	A
16	A
8	A
8	A
17	A
17	A
11	A
11	A
14	A
14	A
1	A
1	A
20	A
20	A
11	A
11	A
1	A
1	A
12	A
12	A
10	A
10	A
14	A
14	A
24	A
24	A
17	A
17	A
17	A
17	A
16	A
16	A
1	A
1	A
2	A
2	A
4	A
4	A
11	A
11	A
5	T
5	T
14	T
14	T
16	T
16	T
12	T
12	T
11	T
11	T
16	T
16	T
2	T
2	T
8	T
8	T
1	T
1	T
1	T
1	T
4	T
4	T
23	T
23	T
12	T
12	T
16	T
16	T
16	T
16	T
9	T
9	T
12	T
12	T
15	T
15	T
11	T
11	T
12	T
12	T
8	T
8	T
20	T
20	T
7	T
7	T
6	T
6	T
19	T
19	T
1	T
1	T
1	T
1	T
1	T
1	T
1	T
1	T
13	T
13	T
10	T
10	T
8	T
8	T
13	T
13	T
12	T
12	T
13	T
13	T
11	T
11	T
14	T
14	T
11	T
11	T
14	T
14	T
1	T
1	T
12	T
12	T
12	T
12	T
12	T
12	T
1	T
1	T
9	T
9	T
7	T
7	T
13	T
13	T
18	T
18	T
14	T
14	T
11	T
11	T
7	T
7	T
17	T
17	T
21	T
21	T
7	T
7	T
1	T
1	T
9	T
9	T
6	T
6	T
4	T
4	T
13	T
13	T
13	T
13	T
12	T
12	T
8	T
8	T
8	T
8	T
11	T
11	T
2	T
2	T
6	T
6	T
17	T
17	T
20	T
20	T
9	T
9	T
9	T
9	T
1	T
1	T
17	T
17	T
12	T
12	T
13	T
13	T
6	T
6	T
8	T
8	T
1	T
1	T
12	T
12	T
13	T
13	T
16	T
16	T
19	T
19	T
9	T
9	T
14	T
14	T
9	T
9	T
11	T
11	T
6	T
6	T
9	T
9	T
4	T
4	T
5	T
5	T
10	T
10	T
10	T
10	T
10	T
10	T
7	T
7	T
11	T
11	T
19	T
19	T
16	T
16	T
22	T
22	T
12	T
12	T
1	T
1	T
18	T
18	T
12	T
12	T
13	T
13	T
15	T
15	T
8	T
8	T
14	T
14	T
20	T
20	T
1	T
1	T
14	T
14	T
12	T
12	T
11	T
11	T
11	T
11	T
6	T
6	T
1	T
1	T
14	T
14	T
26	T
26	T
14	T
14	T
18	T
18	T
10	T
10	T
15	T
15	T
3	T
3	T
12	T
12	T
10	T
10	T
10	T
10	T
21	T
21	T
5	T
5	T
20	T
20	T
9	T
9	T
19	T
19	T
20	T
20	T
21	T
21	T
13	T
13	T
13	T
13	T
1	T
1	T
20	T
20	T
8	T
8	T
15	T
15	T
13	T
13	T
13	T
13	T
1	T
1	T
13	T
13	T
13	T
13	T
19	T
19	T
20	T
20	T
17	T
17	T
2	T
2	T
2	T
2	T
23	T
23	T
5	T
5	T
11	T
11	T
