REFNO	NAME	NAMEORDER
10000	Andersen MK	9
10000	Blennow E	3
10000	Borgstrom G	4
10000	Forestier E	1
10000	Heim S	2
10000	Heinonen K	6
10000	Holmgren G	5
10000	Johannsson J	7
10000	Johansson B	14
10000	Kerndrup G	8
10000	Lundin C	10
10000	Nordgren A	11
10000	Rosenquist R	12
10000	Swolin B	13
10001	Behm FG	13
10001	Chinwalla V	11
10001	Kuefer MU	10
10001	Morris SW	18
10001	Mukatira ST	16
10001	Naeve CW	14
10001	Raimondi SC	17
10001	Rakestraw KM	15
10001	Zeleznik-Le NJ	12
10002	Dal Cin P	13
10002	Ladd C	12
10002	Morton CC	14
10002	Neskey DM	10
10002	Quade BJ	8
10002	Vanni R	11
10002	Weremowicz S	9
10003	Alexander HD	9
10003	Catherwood M	8
10003	McBride HA	10
10003	McCluggage WG	7
10003	Morris TCM	12
10003	Smith MEF	11
10004	Annino L	30
10004	Cuneo A	24
10004	Damasio E	32
10004	Di Raimondo F	34
10004	Elia L	26
10004	Fazi P	38
10004	Foa R	21
10004	Hunger SP	39
10004	Lombardo R	27
10004	Mancini M	23
10004	Mandelli F	40
10004	Mecucci C	25
10004	Morra E	35
10004	Recchia A	33
10004	Saglio G	28
10004	Specchia G	31
10004	Tafuri A	37
10004	Torelli G	29
10004	Vitale A	22
10004	Volpe E	36
10005	Dansako H	14
10005	Fujii N	15
10005	Fujita S	19
10005	Kaneda K	12
10005	Kojima K	11
10005	Shinagawa K	17
10005	Tanimoto M	20
10005	Yano T	16
10005	Yasukawa M	18
10005	Yoshida C	13
10006	Hayashi Y	13
10006	Ito E	16
10006	Kitazawa J	10
10006	Takahashi Y	11
10006	Taketani T	14
10006	Taki T	15
10006	Terui K	9
10006	Tohno C	12
10007	Bordin JO	11
10007	Chauffaille M de LLF	7
10007	Fermino FA	8
10007	Pelloso LAF	9
10007	Silva MRR	10
10007	Yamamoto M	12
10008	Baruffi MR	8
10008	Defavery R	11
10008	Rogatto SR	9
10008	Scrideli CA	7
10008	Tone LG	12
10008	Valera ET	10
10009	Barbouti A	9
10009	Fioretos T	16
10009	Hagemeijer A	14
10009	Hoglund M	10
10009	Johansson B	11
10009	Lassen C	12
10009	Mitelman F	15
10009	Nilsson P-G	13
1000	Billstrom R	1
1000	Mitelman F	3
1000	Nilsson P-G	2
10010	De Wolf-Peeters C	15
10010	Hagemeijer A	16
10010	Maes B	11
10010	Martin-Subero JI	12
10010	Nooyen P	10
10010	Pauwels P	14
10010	Siebert R	13
10010	Wlodarska I	9
10011	Dreyling M	15
10011	Kalla J	19
10011	Katzenberger T	12
10011	Lohr A	13
10011	Muller-Hermelink HK	21
10011	Nickenig C	17
10011	Ott G	22
10011	Ott MM	20
10011	Schoof J	16
10011	Schwarz S	14
10011	Stilgenbauer S	18
10012	Avet-Loiseau H	6
10012	Bataille R	10
10012	Garand R	7
10012	Harousseau J-L	9
10012	Lode L	8
10013	Cerroni L	12
10013	Chott A	16
10013	Dierlamm J	11
10013	Lamprecht A	10
10013	Ott G	14
10013	Raderer M	15
10013	Stolte M	13
10013	Streubel B	9
10014	Davis JH	8
10014	McCahon E	6
10014	Rogers PCJ	9
10014	Schultz KR	10
10014	Sorensen PHB	7
10015	Ishikawa Y	8
10015	Miyoshi T	9
10015	Mukai H	10
10015	Nakagawa K	12
10015	Okumura S	11
10015	Satoh Y	7
10016	Boonstra R	16
10016	Bosga-Bouwer AG	14
10016	Coupland R	23
10016	de Jong B	20
10016	Haralambieva E	18
10016	Kluin PM	24
10016	Krause V	21
10016	Palmer MC	22
10016	Poppema S	26
10016	van den Berg A	19
10016	van den Berg E	25
10016	van der Veen A	17
10016	van Imhoff GW	15
10017	Barjesteh van Waalwijk van Doorn-Khosrovani S	17
10017	Beverloo HB	25
10017	de Greef GE	30
10017	Delwel R	32
10017	Erpelinck C	18
10017	Hack R	22
10017	Lowenberg B	31
10017	Ossenkoppele GJ	28
10017	Slater R	23
10017	Smit EME	24
10017	Sonneveld P	29
10017	Valk PJM	20
10017	van der Poel-van de Luytgaarde S	21
10017	van Putten WL	19
10017	Verdonck LF	27
10017	Verhoef G	26
10018	Bruno S	17
10018	Cerretini R	11
10018	Chena C	10
10018	Narbaitz M	13
10018	Neme D	16
10018	Noriega MF	12
10018	Palacios MF	15
10018	Scolnik M	14
10018	Slavutsky I	18
10019	Dahlenfors R	2
10019	Mark J	4
10019	Sjogren H	1
10019	Stenman G	3
1001	Kitajima K	2
1001	Miyamoto K	1
1001	Suemaru S	3
1001	Tanaka T	4
10020	Fu J-F	1
10020	Hsu J-J	2
10020	Shih L-Y	4
10020	Tang T-C	3
10021	Domanski HA	15
10021	Gisselsson D	12
10021	Gustafson P	14
10021	Isaksson M	13
10021	Mandahl N	11
10021	Mertens F	10
10021	Panagopoulos I	16
10021	Storlazzi CT	9
10022	Lai R	9
10022	Medeiros LJ	10
10022	Merchant S	6
10022	Sanger W	8
10022	Schlette E	7
10023	Chong Y-Y	2
10023	Dong J	1
10023	Meyerson HJ	3
10024	Glick JH	7
10024	Stein S	6
10024	Wasik MA	8
10024	Yuan CM	5
10025	Boroumand N	5
10025	Haque AK	8
10025	Jones DV	7
10025	Raja V	6
10026	Albano F	10
10026	Anelli L	12
10026	Buquicchio C	15
10026	Liso V	17
10026	Roberti MG	16
10026	Rocchi M	18
10026	Specchia G	11
10026	Storlazzi CT	14
10026	Zagaria A	13
10027	Charest A	8
10027	Conroy H	13
10027	Housman D	14
10027	Lane K	9
10027	McMahon K	10
10027	Park J	11
10027	Preisinger E	12
10028	Bridge JA	16
10028	Collins MH	11
10028	Hill DA	10
10028	Ma Z	9
10028	Morris SW	12
10028	Sumegi J	13
10028	Zhou M	14
10028	Zuppan C	15
10029	Drexler HG	10
10029	Janssen JWG	9
10029	Kaufmann M	8
10029	MacLeod RAF	6
10029	Nagel S	7
1002	Kitajima K-i	3
1002	Miyamoto K	1
1002	Sanada H	6
1002	Sato J	2
1002	Suemaru S	5
1002	Tanaka T	7
1002	Togawa A	4
10030	Algenstaedt P	13
10030	Cools J	12
10030	Dierlamm J	20
10030	Hinz K	14
10030	Hossfeld DK	19
10030	Marynen P	18
10030	Penas EMM	11
10030	Schafhausen P	16
10030	Schilling G	17
10030	Seeger D	15
10031	Borkhardt A	11
10031	Bruch J	7
10031	Harbott J	10
10031	Metzler M	12
10031	Teigler-Schlegel A	9
10031	Wilda M	8
10032	Bell SM	16
10032	Bonthron DT	19
10032	Carr IM	13
10032	Hodge D	15
10032	Horgan K	18
10032	Leek JP	14
10032	MacLennan KA	22
10032	Markham AF	21
10032	Rajgopal A	12
10032	Roberts P	17
10032	Selby PJ	20
10033	Corzo C	8
10033	Espinet B	9
10033	Iglesias M	12
10033	Lloreta J	10
10033	Salido M	11
10033	Serrano S	13
10033	Sole F	14
10034	Berger R	1
10034	Busson-Le Coniat M	2
10035	Back H	12
10035	Bram S	7
10035	ogard I	11
10035	Rodjer S	9
10035	Stockelberg D	10
10035	Swolin B	8
10036	Dobos M	15
10036	Fekete G	16
10036	Haltrich I	9
10036	Koos R	13
10036	Kovacs G	12
10036	Muller J	10
10036	Poros A	14
10036	Szabo J	11
10037	Baker A	11
10037	Czepulkowski B	10
10037	Fasan O	8
10037	Mufti GJ	14
10037	Rees D	12
10037	Salisbury J	13
10037	Willmott C	9
10038	Bridge JA	12
10038	Ginsburg G	9
10038	Neff JR	11
10038	Nelson M	7
10038	Perry D	8
10038	Sanger WG	10
10039	Cerda-Nicolas M	8
10039	Collado M	9
10039	Gregori-Romero MA	6
10039	Llombart-Bosch A	10
10039	Lopez-Gines C	7
1003	Buchanan GR	2
1003	Howard-Peebles PN	3
1003	Rutledge J	4
1003	Smith RG	5
1003	Sonnier JA	1
10040	Calasanz MJ	9
10040	Carlson K	7
10040	Lahortiga I	8
10040	Odero MD	6
10040	Rowley JD	10
10041	Feller A	17
10041	Fetscher S	20
10041	Gesk S	12
10041	Grote W	18
10041	Harder L	11
10041	Hochhaus A	15
10041	Maass E	16
10041	Martin-Subero JI	13
10041	Merz H	14
10041	Siebert R	19
10042	Han K-H	9
10042	Kim D-K	6
10042	Kim H-T	8
10042	Kim J-Y	7
10042	Shon D-G	10
10043	Dorner S	6
10043	Fonatsch C	8
10043	Hinterberger W	7
10043	Okhowat R	5
10044	Lau GTC	4
10044	So CC	3
10044	Wong KF	1
10044	Yeung YM	5
10044	Yip SF	2
10045	Brothman A	13
10045	Chen Z	9
10045	Coffin CM	10
10045	Hong B	8
10045	Issa B	12
10045	Lemons R	11
10045	Zhou H	14
