CHROMOSOME	ABNORMALITY	CODE	ORGAN	TOTAL_CASES	CHR_ORDER
10	+10	1010		4	10
10	-10	1020		3	10
10	+10	1020		9	10
10	-10	1101		71	10
10	+10	1101		75	10
10	+10	1102		12	10
10	-10	1102		8	10
10	-10	1103		15	10
10	+10	1103		31	10
10	-10	1104		30	10
10	+10	1104		54	10
10	-10	1106		4	10
10	+10	1106		9	10
10	-10	1107		15	10
10	+10	1107		27	10
10	-10	1108		17	10
10	+10	1108		18	10
10	-10	1109		5	10
10	-10	1110		4	10
10	+10	1110		5	10
10	+10	1112		21	10
10	-10	1112		29	10
10	-10	1113		10	10
10	+10	1113		17	10
10	-10	1202		20	10
10	+10	1202		76	10
10	+10	1203		10	10
10	-10	1203		3	10
10	+10	1302		2	10
10	-10	1302		3	10
10	-10	1401		2	10
10	-10	1402		10	10
10	+10	1403		2	10
10	-10	1403		3	10
10	-10	1404		2	10
10	-10	1406		2	10
10	+10	1406		2	10
10	-10	1501		5	10
10	+10	1501		9	10
10	+10	1505		3	10
10	-10	1505		8	10
10	-10	1507		4	10
10	+10	1509		11	10
10	-10	1509		12	10
10	+10	1519		2	10
10	-10	1519		3	10
10	+10	1521		4	10
10	-10	1521		7	10
10	-10	1602		183	10
10	+10	1602		995	10
10	-10	1702		164	10
10	+10	1702		32	10
10	-10	1708		14	10
10	+10	1708		2	10
10	+10	1710		2	10
10	-10	1710		6	10
10	+10	1801		18	10
10	-10	1801		46	10
10	-10	1802		37	10
10	+10	1802		6	10
10	-10	1804		4	10
10	-10	1806		4	10
10	+10	1808		3	10
10	-10	1808		38	10
10	+10	1810		28	10
10	-10	1810		56	10
10	+10	1812	0810	2	10
10	+10	1814		2	10
10	+10	1816		2	10
10	-10	1816		6	10
10	-10	1818		5	10
10	+10	1820	0601	2	10
10	-10	1820	0601	3	10
10	+10	1820		36	10
10	-10	1820		91	10
10	-10	1822		10	10
10	+10	1822		14	10
10	-10	1830		3	10
10	-10	1835		2	10
10	-10	1901		13	10
10	+10	1901		3	10
10	-10	1902		18	10
10	+10	1902		3	10
10	-10	1904		3	10
10	-10	1906		56	10
10	-10	1908		26	10
10	+10	1908		6	10
10	+10	1910		2	10
10	-10	1910		3	10
10	-10	1912		2	10
10	-10	1914		2	10
10	-10	1922		10	10
10	+10	1922		2	10
10	-10	1926		21	10
10	+10	1926		3	10
10	+10	2001		2	10
10	-10	2001		4	10
10	-10	2002		7	10
10	-10	2003		14	10
10	+10	2003		5	10
10	-10	2004		3	10
10	-10	2005		18	10
10	+10	2005		3	10
10	+10	3001	0401	15	10
10	-10	3001	0401	5	10
10	-10	3003	0210	2	10
10	-10	3003	0227	3	10
10	+10	3003	0227	3	10
10	-10	3003	0501	3	10
10	+10	3003	0501	5	10
10	-10	3003	0702	5	10
10	-10	3003	0704	6	10
10	-10	3031	0301	3	10
10	-10	3099	0401	2	10
10	+10	3099	0401	3	10
10	-10	3101	0401	4	10
10	-10	3101	0509	2	10
10	-10	3102	0218	2	10
10	-10	3102	0227	12	10
10	+10	3102	0227	2	10
10	+10	3102	0401	12	10
10	-10	3102	0401	7	10
