region	distance	type
CHR1|136009-139287	0.00812912	HGT
CHR1|325943-328365	0.00843071	HGT
CHR1|449309-450592	0.02363259	HGT
CHR1|546658-547959	0.03520252	HGT
CHR1|964867-966441	0.05618489	HGT
CHR1|1073625-1076753	0.01159966	HGT
CHR1|1110676-1111869	0.01389201	HGT
CHR1|1156606-1158266	0.00359239	HGT
CHR1|1183874-1185079	0.01997486	HGT
CHR1|1224460-1225487	0.05432947	HGT
CHR1|1285343-1286599	0.05033134	HGT
CHR1|1301154-1302620	0.0252763	HGT
CHR1|1483015-1484301	0.00363634	HGT
CHR1|1540867-1541891	0.0428876	HGT
CHR1|1865583-1867026	0.03404901	HGT
CHR1|2212011-2214005	0.03018342	HGT
CHR1|2277397-2278483	0.00473011	HGT
CHR1|2691455-2693350	0.00804303	HGT
CHR1|3559943-3560955	0.01672053	HGT
CHR1|9318362-9320901	0.03235293	HGT
CHR1|24162983-24164421	0.0195172	HGT
CHR1|26093712-26095400	0.06124016	HGT
CHR1|31859526-31860878	0.02819509	HGT
CHR1|41996803-41998009	0.04730192	HGT
CHR1|54021403-54022795	0.06841079	HGT
CHR1|121137761-121138777	0.03068308	HGT
CHR1|142884798-142886228	0.01531692	HGT
CHR1|143121665-143123163	0.01493638	HGT
CHR1|148854277-148855922	0.02774735	HGT
CHR1|222645180-222648618	0.00953315	HGT
CHR1|227143392-227144996	0.04142983	HGT
CHR1|227165465-227166679	0.0385683300000001	HGT
CHR1|228155953-228159680	0.00858328	HGT
CHR1|228255343-228256584	0.03547263	HGT
CHR1|228745209-228746863	0.00656126	HGT
CHR1|228747285-228748919	0.00695809	HGT
CHR1|228749043-228752674	0.00631009	HGT
CHR1|228752938-228754915	0.0065849	HGT
CHR1|228755179-228757143	0.00652551	HGT
CHR1|228757394-228761600	0.00637168999999999	HGT
CHR1|228761663-228763087	0.0072083	HGT
CHR1|228763757-228768314	0.00620387	HGT
CHR1|228768578-228769867	0.00750035	HGT
CHR1|228770818-228775028	0.00634731999999999	HGT
CHR1|228775284-228782327	0.00623449	HGT
CHR1|231432410-231434173	0.00465474	HGT
CHR1|232892420-232893899	0.01713764	HGT
CHR1|232895833-232896872	0.0145487	HGT
CHR1|243216948-243220439	0.0083835	HGT
CHR1|244438429-244439885	0.0547763800000001	HGT
CHR1|246647101-246648641	0.01451707	HGT
CHR1|247279134-247280838	0.02679974	HGT
CHR1|247281181-247282360	0.03117036	HGT
CHR1|247894613-247895618	0.00444559999999999	HGT
CHR1|248350992-248352403	0.01006393	HGT
CHR1|248429908-248431291	0.00405474	HGT
CHR1|248470266-248471339	0.00287408	HGT
CHR1|248838470-248839485	0.01355182	HGT
CHR2|45195-46823	0.00826898	HGT
CHR2|66770-68756	0.01521059	HGT
CHR2|392809-393842	0.01200034	HGT
CHR2|420012-421265	0.01710968	HGT
CHR2|739786-740905	0.01509527	HGT
CHR2|863877-865078	0.0193409	HGT
CHR2|900392-901464	0.00547579	HGT
CHR2|1107336-1111478	0.01344854	HGT
CHR2|1540663-1541928	0.02334216	HGT
CHR2|1558764-1560128	0.00737594	HGT
