ID	Cassette	Phylum
NZ_GG667666.1	Firmicutes	Non-G6
NZ_GG704787.1	Bacteroidetes	Non-G6
NZ_GG697151.2	Firmicutes	Non-G6
NZ_GG705175.1	Bacteroidetes	Non-G6
NZ_GG705227.1	Bacteroidetes	Non-G6
NZ_GG774949.1	Bacteroidetes	Non-G6
NZ_GG774796.1	Bacteroidetes	Non-G6
NZ_GL538303.1	Firmicutes	Non-G6
NZ_AAVW01000038.1	Cyanobacteria	G6
NZ_AAYG02000016.1	Firmicutes	Non-G6
NZ_AAYG02000002.1	Firmicutes	Non-G6
NZ_ABBM01001082.1	Proteobacteria	Non-G6
NZ_ACCL02000018.1	Firmicutes	Non-G6
NZ_CH724156.1	Proteobacteria	Non-G6
NZ_CH902599.1	Proteobacteria	Non-G6
NZ_DS264268.1	Firmicutes	Non-G6
NZ_DS264311.1	Firmicutes	Non-G6
NZ_DS362236.1	Bacteroidetes	Non-G6
NZ_DS480346.1	Firmicutes	Non-G6
NZ_DS499577.1	Bacteroidetes	Non-G6
NZ_DS499697.1	Firmicutes	Non-G6
NZ_DS981507.1	Bacteroidetes	Non-G6
NZ_DS981430.1	Bacteroidetes	Non-G6
NZ_GG692714.1	Firmicutes	Non-G6
NZ_GG666049.1	Firmicutes	Non-G6
NZ_EQ973215.1	Bacteroidetes	Non-G6
NZ_EQ973214.1	Bacteroidetes	Non-G6
NZ_KQ236096.1	Bacteroidetes	Non-G6
NZ_KQ235764.1	Bacteroidetes	Non-G6
NZ_EQ973486.1	Bacteroidetes	Non-G6
NZ_DS999412.1	Proteobacteria	Non-G6
NZ_GG657758.1	Actinobacteria	Non-G6
NZ_GG730311.1	Firmicutes	Non-G6
NZ_JH636018.1	Bacteroidetes	Non-G6
NZ_JH636038.1	Bacteroidetes	Non-G6
NC_010172.1	Proteobacteria	Non-G6
NC_010322.1	Proteobacteria	Non-G6
NC_010524.1	Proteobacteria	Non-G6
NC_010682.1	Proteobacteria	Non-G6
NC_010814.1	Proteobacteria	Non-G6
NC_011004.1	Proteobacteria	Non-G6
NC_012781.1	Firmicutes	Non-G6
NC_011901.1	Proteobacteria	Non-G6
NC_011891.1	Proteobacteria	Non-G6
NC_012724.2	Proteobacteria	Non-G6
NC_013037.1	Bacteroidetes	Non-G6
NC_012791.1	Proteobacteria	Non-G6
NC_012881.1	Proteobacteria	Non-G6
NC_013216.1	Firmicutes	Non-G6
NC_013729.1	Actinobacteria	Non-G6
NC_013959.1	Proteobacteria	Non-G6
NC_009494.2	Proteobacteria	Non-G6
NZ_GL379585.1	Firmicutes	Non-G6
NC_007626.1	Proteobacteria	Non-G6
NC_007204.1	Proteobacteria	Non-G6
NC_009615.1	Bacteroidetes	Non-G6
NC_007908.1	Proteobacteria	Non-G6
NC_008530.1	Firmicutes	Non-G6
NC_009485.1	Proteobacteria	Non-G6
NC_008750.1	Proteobacteria	Non-G6
NC_008697.1	Actinobacteria	Non-G6
NC_009036.1	Proteobacteria	Non-G6
NC_009253.1	Firmicutes	Non-G6
NC_011420.2	Proteobacteria	Non-G6
NC_009428.1	Proteobacteria	Non-G6
NC_009633.1	Firmicutes	Non-G6
NC_016114.1	Actinobacteria	Non-G6
NC_015138.1	Proteobacteria	Non-G6
NZ_KI391947.1	Firmicutes	Non-G6
NZ_KI391948.1	Firmicutes	Non-G6
NZ_ADKO01000109.1	Bacteroidetes	Non-G6
NC_014910.1	Proteobacteria	Non-G6
NZ_ACFB01000013.1	Proteobacteria	Non-G6
NZ_KE150239.1	Proteobacteria	Non-G6
NZ_DS990118.1	Bacteroidetes	Non-G6
NZ_GL834313.1	Firmicutes	Non-G6
NC_015160.1	Bacteroidetes	Non-G6
NC_015172.1	Firmicutes	Non-G6
NC_015312.1	Actinobacteria	Non-G6
NZ_GL890521.1	Firmicutes	Non-G6
NC_021021.1	Actinobacteria	Non-G6
NC_021030.1	Bacteroidetes	Non-G6
NC_016776.1	Bacteroidetes	Non-G6
NZ_GL890865.1	Cyanobacteria	G6
NZ_ADOP01000028.1	Proteobacteria	Non-G6
NC_015572.1	Proteobacteria	Non-G6
NZ_GL945019.1	Bacteroidetes	Non-G6
NZ_GL945342.1	Firmicutes	Non-G6
NZ_CP007806.1	Firmicutes	Non-G6
NZ_GL949760.1	Proteobacteria	Non-G6
NC_015856.1	Proteobacteria	Non-G6
NZ_GL988634.1	Proteobacteria	Non-G6
NZ_AFXI01000001.1	Proteobacteria	Non-G6
NZ_JH114142.1	Bacteroidetes	Non-G6
NZ_JH114304.1	Proteobacteria	Non-G6
NZ_AGFD01000005.1	Proteobacteria	Non-G6
NZ_JH376870.1	Firmicutes	Non-G6
NZ_JH379027.1	Firmicutes	Non-G6
NZ_AESD01001019.1	Cyanobacteria	G6
NZ_CM001374.1	Proteobacteria	Non-G6
NZ_HG938370.1	Proteobacteria	Non-G6
NC_016593.1	Firmicutes	Non-G6
NZ_JH590868.1	Firmicutes	Non-G6
NZ_JH590875.1	Firmicutes	Non-G6
NZ_JH600068.1	Proteobacteria	Non-G6
NZ_AFNE01000030.1	Firmicutes	Non-G6
NZ_AIDA02000092.1	Proteobacteria	Non-G6
NZ_AIDC02000107.1	Proteobacteria	Non-G6
NZ_AJIN01000036.1	Bacteroidetes	Non-G6
NZ_JH651384.1	Proteobacteria	Non-G6
NZ_CP017311.1	Proteobacteria	Non-G6
NZ_AJWX01000011.1	Proteobacteria	Non-G6
NZ_AJXW01000043.1	Proteobacteria	Non-G6
NZ_JH724088.1	Bacteroidetes	Non-G6
NZ_JH724245.1	Bacteroidetes	Non-G6
NZ_JH724268.1	Bacteroidetes	Non-G6
NZ_JH724283.1	Bacteroidetes	Non-G6
NZ_AKJT01000025.1	Proteobacteria	Non-G6
NZ_AKJK01000081.1	Proteobacteria	Non-G6
NZ_AKJH01000019.1	Proteobacteria	Non-G6
NZ_AKIV01000010.1	Proteobacteria	Non-G6
NC_015873.1	Firmicutes	Non-G6
NC_016002.1	Proteobacteria	Non-G6
NZ_ALPT02000044.1	Firmicutes	Non-G6
NZ_CAKP01000036.1	Firmicutes	Non-G6
NZ_HF570108.1	Actinobacteria	Non-G6
NC_018680.1	Proteobacteria	Non-G6
NZ_AMFD01000008.1	Firmicutes	Non-G6
NZ_CALJ01000311.1	Proteobacteria	Non-G6
NZ_AMXB01000038.1	Proteobacteria	Non-G6
NZ_JH980292.1	Cyanobacteria	Non-G6
NZ_BALG01000089.1	Firmicutes	Non-G6
NZ_JH992901.1	Cyanobacteria	G6
NZ_JH993795.1	Cyanobacteria	Non-G6
NC_019683.1	Cyanobacteria	Non-G6
NZ_CAPH01000015.1	Bacteroidetes	Non-G6
NZ_CAPH01000002.1	Bacteroidetes	Non-G6
NZ_KI913951.1	Cyanobacteria	Non-G6
