Distance	DGR_ID
1128	NZ_GG667666.1
345	NZ_GG704787.1
38700	NZ_GG697151.2
583	NZ_GG697151.2
757	NZ_GG705175.1
370	NZ_GG705227.1
771	NZ_GG774949.1
54301	NZ_GG774949.1
43216	NZ_GG774796.1
404	NZ_GG774796.1
202	NZ_GG774796.1
2029	NZ_GL538303.1
1720	NZ_AAVW01000038.1
561	NZ_AAYG02000016.1
269	NZ_AAYG02000002.1
10199	NZ_ABBM01001082.1
1127	NZ_ABBM01001082.1
641	NZ_ABBM01001082.1
506	NZ_ABEA03000010.1
2246	NC_020449.1
203	NZ_ACCL02000018.1
956892	NZ_CH724156.1
138685	NZ_CH724156.1
1072	NZ_CH902599.1
36591	NZ_DS264268.1
654	NZ_DS264268.1
675	NZ_DS264311.1
16337	NZ_DS264311.1
704	NZ_DS362236.1
215	NZ_DS480346.1
40375	NZ_DS499577.1
545	NZ_DS499577.1
631	NZ_DS499697.1
603	NZ_DS981507.1
36708	NZ_DS981430.1
614	NZ_DS981430.1
647	NZ_GG692714.1
203371	NZ_GG692714.1
2016	NZ_GG666049.1
26525	NZ_EQ973215.1
37953	NZ_EQ973214.1
193	NZ_EQ973214.1
343	NZ_KQ236096.1
23739	NZ_KQ235764.1
24070	NZ_KQ235764.1
356	NZ_EQ973486.1
2290	NZ_DS999412.1
916	NZ_DS999412.1
3852	NZ_DS999412.1
3391	NZ_DS999412.1
2933	NZ_DS999412.1
2475	NZ_DS999412.1
2017	NZ_DS999412.1
1559	NZ_DS999412.1
1101	NZ_DS999412.1
643	NZ_DS999412.1
2683805	NZ_GG657758.1
263	NZ_GG730311.1
286	NZ_JH636018.1
729	NZ_JH636038.1
1368570	NC_010172.1
2080044	NC_010322.1
2006173	NC_010322.1
592	NC_010524.1
8791	NC_010682.1
1296	NC_010682.1
658	NC_010682.1
752	NC_010814.1
1756	NC_010814.1
1440775	NC_011004.1
1444	NC_010831.1
386466	NC_012781.1
519	NC_011901.1
1018557	NC_011891.1
2976879	NC_011891.1
1148	NC_012724.2
641	NC_012724.2
3358152	NC_013037.1
2443799	NC_013037.1
2066740	NC_013037.1
1647663	NC_013037.1
898948	NC_013037.1
309870	NC_013037.1
161619	NC_013037.1
209546	NC_013037.1
1202445	NC_013037.1
2671488	NC_013037.1
772251	NZ_CP001621.1
598419	NZ_CP001621.1
623197	NZ_CP001621.1
3696600	NC_012791.1
3194380	NC_012791.1
3091616	NC_012791.1
2962673	NC_012791.1
1325453	NC_012791.1
1271203	NC_012791.1
1411890	NC_012791.1
1054568	NC_012791.1
2689813	NC_012791.1
2799458	NC_012791.1
1441020	NC_012881.1
559	NC_013216.1
2035949	NC_013729.1
1071	NC_013959.1
671	NC_013959.1
720	NC_009494.2
21437	NZ_GL379585.1
1700070	NC_002967.9
1336484	NC_002967.9
1218919	NC_002967.9
236375	NC_002967.9
334	NC_002967.9
28043	NC_002967.9
179048	NC_002967.9
178587	NC_006908.1
1320	NC_007626.1
712	NC_007626.1
568	NC_007204.1
373	NC_009615.1
1274081	NC_007908.1
133304	NC_008530.1
758307	NC_009485.1
6828953	NC_009485.1
544	NC_008750.1
544	NC_008750.1
1689435	NC_008750.1
41214	NC_008697.1
900	NC_009036.1
586	NC_009253.1
66961	NC_011420.2
27294	NC_011420.2
822	NC_011420.2
545	NC_009428.1
771653	NC_009428.1
808295	NC_009428.1
567	NC_009633.1
4996189	NC_016114.1
726181	NC_016114.1
272601	NC_016114.1
64148	NC_016114.1
784161	NC_015138.1
2024	NZ_KI391947.1
35582	NZ_KI391948.1
2074	NZ_KI391948.1
370	NZ_ADKO01000109.1
6700	NC_014910.1
6118	NC_014910.1
744	NC_014910.1
34822	NZ_ACFB01000013.1
2181	NZ_KE150239.1
432	NZ_DS990118.1
631	NZ_GL834313.1
357	NC_015160.1
1873	NC_015172.1
2616453	NC_015172.1
2629337	NC_015172.1
2442233	NC_015172.1
2455117	NC_015172.1
2087706	NC_015172.1
2095365	NC_015172.1
1434679	NC_015312.1
4043827	NC_015312.1
303	NZ_GL890521.1
1655768	NC_021021.1
1917520	NC_021021.1
444462	NC_021021.1
194706	NC_021021.1
1115916	NC_021030.1
36043	NC_021030.1
591	NC_021030.1
1410	NC_016776.1
1638	NZ_GL890865.1
562	NZ_ADOP01000028.1
2424763	NC_015572.1
729	NZ_GL945019.1
18879	NZ_GL945342.1
589	NZ_GL945342.1
1492	NZ_CP007806.1
583	NZ_GL949760.1
1732	NC_015856.1
1151	NC_015856.1
714	NC_015856.1
545	NZ_GL988634.1
1393	NZ_AFXI01000001.1
707	NZ_AFXI01000001.1
223	NZ_JH114142.1
1776	NZ_JH114304.1
807	NZ_AGFD01000005.1
2088	NZ_AGFD01000005.1
20148	NZ_JH376870.1
588	NZ_JH376870.1
49788	NZ_JH379027.1
1168	NZ_JH379027.1
1651	NZ_AESD01001019.1
707	NZ_CM001374.1
2649	NZ_HG938370.1
1142	NZ_HG938370.1
656	NZ_HG938370.1
180571	NC_016593.1
1946679	NC_016593.1
19851	NZ_JH590868.1
1963	NZ_JH590868.1
1958	NZ_JH590875.1
3934898	NC_019892.1
556	NZ_JH600068.1
648	NZ_AFNE01000030.1
561	NZ_AIDA02000092.1
541	NZ_AIDC02000107.1
1666	NZ_AJIN01000036.1
2326089	NZ_JH651384.1
49992	NZ_CP017311.1
1379	NZ_AJWX01000011.1
701	NZ_AJWX01000011.1
4065	NZ_AJXW01000043.1
643	NZ_AJXW01000043.1
1009	NZ_JH724088.1
375	NZ_JH724245.1
2478	NZ_JH724268.1
733	NZ_JH724268.1
39041	NZ_JH724283.1
198	NZ_JH724283.1
3309	NZ_AKJT01000025.1
1384	NZ_AKJT01000025.1
698	NZ_AKJT01000025.1
13872	NZ_AKJK01000081.1
13875	NZ_AKJK01000081.1
13879	NZ_AKJK01000081.1
13878	NZ_AKJK01000081.1
27	NZ_AKJK01000081.1
8077	NZ_AKJH01000019.1
1391	NZ_AKJH01000019.1
699	NZ_AKJH01000019.1
1904	NZ_AKIV01000010.1
1335	NZ_AKIV01000010.1
758	NZ_AKIV01000010.1
563	NC_015873.1
368960	NC_016002.1
368296	NC_016002.1
1364	NC_016002.1
696	NC_016002.1
565	NZ_ALPT02000044.1
570	NZ_CAKP01000036.1
667825	NZ_HF570108.1
558	NC_018680.1
300	NZ_AMFD01000008.1
713	NZ_CALJ01000311.1
1154	NZ_AMXB01000038.1
669	NZ_AMXB01000038.1
8461	NZ_JH980292.1
1693	NZ_JH980292.1
711816	NZ_JH980292.1
558	NZ_BALG01000089.1
1778	NZ_JH992901.1
12484	NZ_JH993795.1
4065	NZ_JH993795.1
1370	NZ_JH993795.1
1821	NC_019683.1
1068	NC_019683.1
8041	NC_019683.1
38471	NZ_CAPH01000015.1
185	NZ_CAPH01000015.1
1586	NZ_CAPH01000002.1
2588	NZ_KI913951.1
1061	NZ_KI913951.1
75491	NZ_KI913951.1
293	NZ_ALWB01000040.1
494	NZ_KB442453.1
3102	NZ_AONQ01000005.1
752	NZ_AONQ01000005.1
2453518	NC_020453.1
1823233	NC_020453.1
1698436	NC_020453.1
23877	NC_020453.1
2190219	NC_020453.1
2232824	NC_020453.1
3671987	NZ_KQ976354.1
19776	NZ_ANNV01000066.1
1649554	NC_020520.1
498963	NC_020520.1
1402756	NC_020520.1
1190271	NC_020520.1
2822848	NC_020520.1
3897402	NC_020520.1
2985721	NC_020829.1
1390	NZ_AOUH01000022.1
699	NZ_AOUH01000022.1
568	NZ_KB731310.1
568	NZ_KB731310.1
40141	NZ_KB822482.1
818	NZ_KB822482.1
593	NZ_KB822504.1
30488	NZ_KB846715.1
305520	NZ_KB846715.1
455505	NZ_KB846715.1
562	NZ_KB849404.1
564	NZ_KB849413.1
1965	NZ_AQYY01000020.1
662	NZ_APMQ01000026.1
1062	NZ_KB890348.1
694	NZ_KB892408.1
667	NZ_KB892653.1
16227	NZ_KB892653.1
683	NZ_KB894220.1
510	NZ_KB894601.1
26760	NZ_KB895376.1
558	NZ_KB895376.1
569	NZ_AQWN01000009.1
539	NZ_KB899418.1
531	NZ_AQYC01000008.1
560	NZ_KB905957.1
560	NZ_KB905957.1
1147	NZ_KB906254.1
665	NZ_KB906254.1
8112	NZ_KB911255.1
1178	NZ_KB944445.1
669	NZ_KB944445.1
1189	NZ_KB944451.1
668	NZ_KB944451.1
13979	NC_021191.1
9467	NC_021191.1
4512	NC_021191.1
9467	NC_021191.1
1263	NZ_AQPL01000077.1
709	NZ_AQPL01000077.1
372	NZ_KE159459.1
411	NZ_KE159487.1
545	NZ_KE159489.1
563	NZ_KE159636.1
36537	NZ_KE159629.1
663	NZ_KE159629.1
199854	NZ_KE159646.1
354001	NZ_KE159646.1
1024229	NZ_KE159646.1
734	NZ_KE159646.1
2116	NZ_KE159709.1
1092	NZ_KE150296.1
648	NZ_KE150296.1
137429	NZ_KE150426.1
956996	NZ_KE150426.1
1825494	NZ_KE150426.1
3548245	NC_021499.1
6090	NZ_ATLP01000118.1
1384	NZ_ATLP01000118.1
691	NZ_ATLP01000118.1
866	NZ_ATVV01000064.1
545	NZ_ATWO01000001.1
37379	NZ_ATXD01000007.1
663	NZ_ATXD01000007.1
27067	NZ_ATHI01000003.1
553	NZ_ATHI01000003.1
1872	NZ_KE384013.1
1404	NZ_KE384013.1
1170	NZ_KE384013.1
936	NZ_KE384013.1
468	NZ_KE384013.1
234	NZ_KE384013.1
1638	NZ_KE384013.1
1404	NZ_KE384013.1
936	NZ_KE384013.1
702	NZ_KE384013.1
468	NZ_KE384013.1
234	NZ_KE384013.1
936	NZ_KE384013.1
702	NZ_KE384013.1
234	NZ_KE384013.1
234	NZ_KE384013.1
468	NZ_KE384013.1
702	NZ_KE384013.1
936	NZ_KE384013.1
1170	NZ_KE384013.1
702	NZ_KE384013.1
234	NZ_KE384013.1
468	NZ_KE384013.1
936	NZ_KE384013.1
234	NZ_KE384013.1
234	NZ_KE384013.1
468	NZ_KE384013.1
702	NZ_KE384013.1
936	NZ_KE384013.1
1170	NZ_KE384013.1
1404	NZ_KE384013.1
1638	NZ_KE384013.1
234	NZ_KE384013.1
234	NZ_KE384013.1
468	NZ_KE384013.1
702	NZ_KE384013.1
936	NZ_KE384013.1
1170	NZ_KE384013.1
1404	NZ_KE384013.1
1638	NZ_KE384013.1
1872	NZ_KE384013.1
478	NZ_AUIU01000012.1
1427	NZ_AUJK01000014.1
7408	NC_017559.1
5177	NC_017559.1
1123	NC_017559.1
640	NC_017559.1
1539192	NZ_KE386572.1
953	NZ_ATYS01000063.1
35744	NZ_ATZH01000034.1
217	NZ_ATZH01000034.1
565	NZ_AUBR01000006.1
584	NZ_AUMW01000009.1
321	NZ_ALMY01000011.1
19658	NZ_AUUR01000173.1
1970	NZ_AUUR01000173.1
1724	NZ_KE650771.1
8616	NZ_AVEM02000294.1
1389	NZ_AVEM02000294.1
701	NZ_AVEM02000294.1
30351	NZ_AURW01000005.1
30483	NZ_KI271554.1
1971	NZ_KI271554.1
23374	NZ_KI271567.1
1987	NZ_KI271567.1
600	NZ_AWNK01000004.1
188	NZ_AXAA01000043.1
973	NZ_ASSJ01000041.1
1273	NZ_BATO01000096.1
664	NZ_BATO01000096.1
555	NZ_AXCA01000158.1
130718	NZ_ARWH01000001.1
1375	NZ_KI519017.1
666	NZ_KI519017.1
1733	NZ_AWNH01000040.1
644	NZ_CM002268.1
666	NZ_AXBU01000004.1
546	NZ_AUTS01000033.1
567	NZ_KI632513.1
380	NZ_KI669458.1
707	NZ_AOJA01000074.1
810865	NZ_CP007012.1
720	NZ_CBVI010000159.1
729	NZ_CBVI010000159.1
1395	NZ_AZVV01000003.1
699	NZ_AZVV01000003.1
1627	NZ_BAIV01000047.1
1252	NZ_BAIV01000047.1
375	NZ_BAIV01000047.1
688	NZ_AZRU01000034.1
35545	NZ_JAEW01000006.1
614	NZ_JAEW01000006.1
1140	NZ_JAFA01000012.1
643	NZ_JAFA01000012.1
92454	NZ_JAFA01000012.1
16485	NZ_JAGQ01000004.1
584	NZ_JAGQ01000004.1
640	NZ_CBXX010000030.1
575	NZ_KK073872.1
749706	NZ_KK073874.1
1340634	NZ_KK073874.1
349	NZ_JGDC01000303.1
26056	NZ_BAIZ01000014.1
252	NZ_BAMF01000005.1
613	NZ_JHVC01000013.1
39846	NZ_KK211357.1
39843	NZ_KK211357.1
13092	NZ_KK211357.1
715	NZ_AVCC01000114.1
327341	NZ_AQRA01000003.1
548	NZ_JFJO01000095.1
208	NZ_JIAF01000004.1
2278041	NZ_JIAF01000004.1
2316493	NZ_JIAF01000004.1
2316701	NZ_JIAF01000004.1
21117	NZ_AXZZ01000186.1
556	NZ_JGWV01000017.1
1393	NZ_CP008696.1
698	NZ_CP008696.1
376	NZ_JNHG01000525.1
376	NZ_JNHG01000525.1
48647	NZ_CP013730.1
35675	NZ_JNKJ01000010.1
656	NZ_JNKJ01000010.1
264845	NZ_KL370891.1
614	NZ_JNIO01000008.1
39286	NZ_JNIO01000008.1
39901	NZ_JNIO01000008.1
1748	NZ_JONL01000001.1
950	NZ_JONL01000001.1
574	NZ_JOOA01000001.1
574	NZ_JOOA01000001.1
3422	NZ_JMFO01000003.1
699	NZ_JMFO01000010.1
2995	NZ_JMFO01000010.1
84032	NZ_JNXT01000020.1
80996	NZ_JNXT01000020.1
43896	NZ_JNXT01000020.1
9151	NZ_JNXT01000020.1
132	NZ_JNYY01000001.1
462881	NZ_JNYY01000006.1
32795	NZ_JNYY01000006.1
131043	NZ_JOFV01000004.1
50460	NZ_JOEQ01000007.1
146170	NZ_JOEQ01000007.1
200101	NZ_JOEQ01000007.1
88287	NZ_JOEQ01000007.1
15663	NZ_JOEQ01000007.1
43682	NZ_JOEQ01000007.1
1392	NZ_BBIR01000031.1
680	NZ_BBIR01000031.1
2457317	NZ_JNFS01000001.1
672	NZ_JIDJ01000049.1
2088	NZ_JIDJ01000049.1
3355104	NZ_CP005997.1
553	NZ_JOKE01000009.1
4788158	NZ_KN050642.1
919	NZ_KN050642.1
982481	NZ_JQNQ01000001.1
1076	NZ_JQJY01000003.1
588	NZ_JQJY01000003.1
202	NZ_JQJY01000003.1
1369	NZ_CP009048.1
692	NZ_CP009048.1
1147	NZ_CP007786.1
653	NZ_CP007786.1
1130	NZ_KN150910.1
644	NZ_KN150910.1
7356	NZ_KN150980.1
1136	NZ_KN150980.1
650	NZ_KN150980.1
1081	NZ_AWOR01000058.1
1082	NZ_AWTN01000095.1
2985	NZ_JPMY01000012.1
1414	NZ_JPMY01000012.1
685	NZ_JPMY01000012.1
561	NZ_JMCH01000022.1
593	NZ_JMFY01000017.1
1373	NZ_JTST01000001.1
665	NZ_JTST01000001.1
753	NZ_JTLK01000158.1
253	NZ_JTLI01000008.1
2436309	NZ_CP009747.1
2334326	NZ_CP009747.1
2260505	NZ_CP009747.1
1238809	NZ_CP009747.1
813973	NZ_CP009747.1
1770571	NZ_CP009747.1
1557270	NZ_KN639176.1
73995	NZ_JUEH01000009.1
136702	NZ_JNFP01000001.1
663	NZ_JWMA01000055.1
644	NZ_CDBZ01000026.1
2054	NZ_CDBZ01000026.1
548	NZ_CP010311.1
1393	NZ_CP010359.1
675	NZ_CP010359.1
1337	NZ_CP010536.1
662	NZ_CP010536.1
1046	NZ_JXQH01000052.1
1046	NZ_JXQH01000052.1
2020184	NZ_CP010892.1
2027283	NZ_CP010892.1
2027992	NZ_CP010892.1
2028745	NZ_CP010892.1
1410	NZ_CP010892.1
700	NZ_CP010892.1
601	NZ_JXXG01000003.1
2064	NZ_JYKO01000020.1
1389	NZ_JYKO01000020.1
708	NZ_JYKO01000020.1
1358	NZ_JZRC01000006.1
691	NZ_JZRC01000006.1
50938	NZ_LANB01000001.1
34017	NZ_KQ031391.1
370	NZ_KQ033902.1
337	NZ_KQ033902.1
675	NZ_KQ033902.1
707	NZ_KQ033902.1
337	NZ_KQ033902.1
338	NZ_KQ033902.1
1045	NZ_KQ033902.1
3306114	NZ_CP011974.1
91533	NZ_BBSJ01000051.1
4746265	NZ_LN831776.1
2707643	NZ_CP011304.1
1667	NZ_CP011304.1
595	NZ_JAIQ01000034.1
1481	NZ_CP011279.1
56951	NZ_CP011279.1
47501	NZ_JZEG01000001.1
1384	NZ_LASZ01000001.1
639	NZ_LASZ01000001.1
6862	NZ_LCZB01000052.1
1376	NZ_LCZB01000052.1
691	NZ_LCZB01000052.1
4212449	NZ_CP011773.1
36611	NZ_LDZY01000004.1
37202	NZ_LDZY01000004.1
591	NZ_LDZY01000004.1
1391	NZ_JYLD01000008.1
703	NZ_JYLD01000008.1
781755	NZ_LFMP01000013.1
1	NZ_CVVJ01000131.1
374	NZ_LN869529.1
554	NZ_LFUK01000020.1
550	NZ_CP008934.1
1147518	NZ_CP011456.1
358	NZ_CP011456.1
150130	NZ_CP011456.1
561	NZ_LIIO01000025.1
688	NZ_LGLE01000005.1
1389	NZ_LGLE01000005.1
701	NZ_LGLE01000005.1
699	NZ_CYIG01000062.1
2103	NZ_CYIG01000062.1
2802	NZ_CYIG01000062.1
5411	NZ_CYTL01000001.1
1125	NZ_CYTL01000001.1
678	NZ_CYTL01000001.1
83055	NZ_CYTC01000006.1
83058	NZ_CYTC01000006.1
83054	NZ_CYTC01000006.1
83057	NZ_CYTC01000006.1
180	NZ_CYTC01000006.1
177	NZ_CYTC01000006.1
174	NZ_CYTC01000006.1
82881	NZ_CYTC01000006.1
82884	NZ_CYTC01000006.1
200619	NZ_CYTC01000006.1
154953	NZ_CYTC01000006.1
6370	NZ_CYTT01000010.1
1181	NZ_CYTT01000010.1
7761	NZ_LKKS01000033.1
1373	NZ_LKKS01000033.1
