id	reads	len	cov
ERR1730273_C13850561	4	584	0.68
ERR1730270_scaffold28675	9	945	0.95
ERR1730266_scaffold32041	9	716	1.25
ERR1730276_C14510262	13	1003	1.29
ERR1730257_scaffold42293	18	1375	1.30
ERR1730267_C9911853	15	1153	1.30
ERR1730278_C11945848	18	1290	1.39
ERR1730257_C10000938	20	1355	1.47
ERR1730274_C13263990	18	1190	1.51
ERR1730281_C14025508	18	1192	1.51
ERR1730279_C10057142	15	953	1.57
ERR1730265_C8965809	59	3484	1.69
ERR1730273_C14094864	24	1382	1.73
ERR1730281_C14040598	23	1328	1.73
ERR1730282_C9331026	20	1137	1.75
ERR1730277_C15010181	30	1690	1.77
ERR1730273_C14122523	48	2670	1.79
ERR1730274_C13277074	24	1303	1.84
ERR1730275_C11119029	23	1243	1.85
ERR1730281_scaffold9760	27	1454	1.85
ERR1730270_C21331828	80	4252	1.88
ERR1730277_C14958761	22	1167	1.88
ERR1730273_C14118297	40	2096	1.90
ERR1730274_C13229553	19	997	1.90
ERR1730277_scaffold47402	41	2129	1.92
ERR1730276_C14584533	39	2018	1.93
ERR1730276_C14567977	30	1536	1.95
C2688007	51	2590	1.96
ERR1730273_C14059749	21	1067	1.96
ERR1730260_C13754817	20	1000	2.00
ERR1730261_scaffold24671	43	2144	2.00
ERR1730262_C9240080	38	1892	2.00
ERR1730266_C12402965	51	2539	2.00
ERR1730283_scaffold5718	23	1119	2.05
ERR1730269_C11747770	40	1917	2.08
ERR1730259_C15362487	35	1653	2.11
ERR1730271_C15166178	31	1469	2.11
ERR1730277_C15001835	33	1545	2.13
ERR1730261_C10772591	30	1381	2.17
ERR1730273_C14104466	34	1549	2.19
ERR1730273_scaffold27234	40	1820	2.19
ERR1730261_scaffold26730	39	1769	2.20
ERR1730267_C9990884	67	2974	2.25
ERR1730270_scaffold470	66	2928	2.25
ERR1730271_scaffold31951	33	1464	2.25
ERR1730274_scaffold30231	63	2615	2.40
ERR1730275_C11129702	38	1553	2.44
ERR1730271_C15186662	58	2339	2.47
ERR1730266_C12336891	29	1122	2.58
ERR1730270_C21312880	45	1738	2.58
ERR1730260_C13809565	41	1573	2.60
ERR1730262_C9246254	64	2448	2.61
ERR1730278_scaffold10972	108	4104	2.63
ERR1730266_C12256159	22	832	2.64
ERR1730271_C15026283	20	755	2.64
ERR1730280_scaffold9517	23	858	2.68
ERR1730262_C9214387	34	1255	2.70
ERR1730270_C21220387	27	990	2.72
ERR1730257_C10044608	63	2248	2.80
ERR1730271_C15174950	47	1665	2.82
ERR1730276_C14541901	35	1210	2.89
ERR1730257_scaffold14776	47	1606	2.92
ERR1730281_C14073455	61	2060	2.96
ERR1730276_C14589353	69	2318	2.97
ERR1730278_C11893828	26	843	3.08
ERR1730264_C11102603	56	1796	3.11
ERR1730267_scaffold21424	79	2523	3.13
ERR1730276_scaffold20033	210	6658	3.15
SRR5936028_C509047	14	442	3.16
ERR1730274_C13316494	69	2165	3.18
ERR1730267_C9922166	39	1222	3.19
ERR1730271_scaffold24027	53	1618	3.27
ERR1730259_C15330058	33	1006	3.28
ERR1730272_C11701727	37	1075	3.44
ERR1730282_scaffold31532	36	1045	3.44
ERR1730262_scaffold24315	35	1011	3.46
ERR1730282_C9385686	150	4313	3.47
ERR1730261_scaffold27104	63	1793	3.51
ERR1730265_C8833256	29	820	3.53
ERR1730282_C9374360	73	1963	3.71
ERR1730277_C15026283	87	2313	3.76
SRR413693_scaffold60167	27	713	3.78
SRR5936011_C407268	28	732	3.82
ERR1730270_C21326924	92	2396	3.83
SRR5936224_C356326	19	493	3.85
ERR1730265_C8953451	80	2052	3.89
ERR1730264_C11019409	31	787	3.93
ERR1730257_scaffold39104	72	1811	3.97
SRS023176_Baylor_scaffold_13920	277	6894	4.01
ERR1730269_scaffold40424	217	5370	4.04
SRR5946771_C242693	27	661	4.08
ERR1730270_C21245998	45	1088	4.13
SRR5946976_C710224	45	1074	4.18
SRR5935866_C721860	37	882	4.19
ERR1730271_scaffold36019	104	2453	4.23
ERR1730272_scaffold11815	54	1274	4.23
SRS022524_Baylor_scaffold_6997	129	3019	4.27
ERR1730274_scaffold18274	248	5633	4.40
ERR1730260_C13792103	57	1286	4.43
ERR1730262_scaffold13689	193	4348	4.43
SRR5936076_C436711	50	1107	4.51
SRR5946632_C370420	32	704	4.54
SRR413680_scaffold28902	27	572	4.72
ERR1730282_scaffold33396	56	1182	4.73
SRR5935782_C234749	39	823	4.73
ERR1730279_scaffold23092	140	2942	4.75
SRR5935897_C814477	37	769	4.81
ERR1730264_C11091235	65	1343	4.83
SRR5947018_C840418	48	991	4.84
SRR5935884_C798199	43	874	4.91
ERR1730267_scaffold8961	151	3019	5.00
ERR1730281_C14070295	98	1914	5.12
SRR5946939_C216423	92	1789	5.14
SRR5946885_C501258	50	964	5.18
ERR1730260_C13761738	54	1038	5.20
SRR5936185_C595963	46	872	5.27
SRR5946957_C337886	63	1193	5.28
