ID	Cassette	Phylum
NZ_GG667666.1	Firmicutes	G1
NZ_GG704787.1	Bacteroidetes	G1
NZ_GG697151.2	Firmicutes	G2
NZ_GG705175.1	Bacteroidetes	G1
NZ_GG705227.1	Bacteroidetes	G1
NZ_GG774949.1	Bacteroidetes	others
NZ_GG774796.1	Bacteroidetes	G4
NZ_GL538303.1	Firmicutes	G3
NZ_AAVW01000038.1	Cyanobacteria	G6
NZ_AAYG02000016.1	Firmicutes	G1
NZ_AAYG02000002.1	Firmicutes	G1
NZ_ABBM01001082.1	Proteobacteria	G4
NZ_ACCL02000018.1	Firmicutes	G1
NZ_CH724156.1	Proteobacteria	others
NZ_CH902599.1	Proteobacteria	G5
NZ_DS264268.1	Firmicutes	G2
NZ_DS264311.1	Firmicutes	G7
NZ_DS362236.1	Bacteroidetes	G1
NZ_DS480346.1	Firmicutes	G1
NZ_DS499577.1	Bacteroidetes	G2
NZ_DS499697.1	Firmicutes	G1
NZ_DS981507.1	Bacteroidetes	G1
NZ_DS981430.1	Bacteroidetes	G2
NZ_GG692714.1	Firmicutes	G7
NZ_GG666049.1	Firmicutes	G3
NZ_EQ973215.1	Bacteroidetes	G9
NZ_EQ973214.1	Bacteroidetes	G2
NZ_KQ236096.1	Bacteroidetes	G1
NZ_KQ235764.1	Bacteroidetes	others
NZ_EQ973486.1	Bacteroidetes	G1
NZ_DS999412.1	Proteobacteria	others
NZ_GG657758.1	Actinobacteria	G9
NZ_GG730311.1	Firmicutes	G1
NZ_JH636018.1	Bacteroidetes	G1
NZ_JH636038.1	Bacteroidetes	G1
NC_010172.1	Proteobacteria	others
NC_010322.1	Proteobacteria	others
NC_010524.1	Proteobacteria	G1
NC_010682.1	Proteobacteria	G4
NC_010814.1	Proteobacteria	G7
NC_011004.1	Proteobacteria	others
NC_012781.1	Firmicutes	others
NC_011901.1	Proteobacteria	G1
NC_011891.1	Proteobacteria	others
NC_012724.2	Proteobacteria	G2
NC_013037.1	Bacteroidetes	others
NC_012791.1	Proteobacteria	others
NC_012881.1	Proteobacteria	G3
NC_013216.1	Firmicutes	G1
NC_013729.1	Actinobacteria	G8
NC_013959.1	Proteobacteria	G2
NC_009494.2	Proteobacteria	G1
NZ_GL379585.1	Firmicutes	others
NC_007626.1	Proteobacteria	G2
NC_007204.1	Proteobacteria	G1
NC_009615.1	Bacteroidetes	G1
NC_007908.1	Proteobacteria	G9
NC_008530.1	Firmicutes	G3
NC_009485.1	Proteobacteria	others
NC_008750.1	Proteobacteria	others
NC_008697.1	Actinobacteria	others
NC_009036.1	Proteobacteria	G5
NC_009253.1	Firmicutes	G1
NC_011420.2	Proteobacteria	others
NC_009428.1	Proteobacteria	others
NC_009633.1	Firmicutes	G1
NC_016114.1	Actinobacteria	others
NC_015138.1	Proteobacteria	G8
NZ_KI391947.1	Firmicutes	G3
NZ_KI391948.1	Firmicutes	G7
NZ_ADKO01000109.1	Bacteroidetes	G1
NC_014910.1	Proteobacteria	G4
NZ_ACFB01000013.1	Proteobacteria	G1
NZ_KE150239.1	Proteobacteria	G1
NZ_DS990118.1	Bacteroidetes	G1
NZ_GL834313.1	Firmicutes	G1
NC_015160.1	Bacteroidetes	G1
NC_015172.1	Firmicutes	others
NC_015312.1	Actinobacteria	others
NZ_GL890521.1	Firmicutes	G1
NC_021021.1	Actinobacteria	others
NC_021030.1	Bacteroidetes	others
NC_016776.1	Bacteroidetes	G1
NZ_GL890865.1	Cyanobacteria	G6
NZ_ADOP01000028.1	Proteobacteria	G1
NC_015572.1	Proteobacteria	others
NZ_GL945019.1	Bacteroidetes	G1
NZ_GL945342.1	Firmicutes	G2
NZ_CP007806.1	Firmicutes	others
NZ_GL949760.1	Proteobacteria	G1
NC_015856.1	Proteobacteria	G4
NZ_GL988634.1	Proteobacteria	G1
NZ_AFXI01000001.1	Proteobacteria	G2
NZ_JH114142.1	Bacteroidetes	G1
NZ_JH114304.1	Proteobacteria	G1
NZ_AGFD01000005.1	Proteobacteria	G7
NZ_JH376870.1	Firmicutes	G2
NZ_JH379027.1	Firmicutes	G2
NZ_AESD01001019.1	Cyanobacteria	G6
NZ_CM001374.1	Proteobacteria	others
NZ_HG938370.1	Proteobacteria	G4
NC_016593.1	Firmicutes	others
NZ_JH590868.1	Firmicutes	G7
NZ_JH590875.1	Firmicutes	G3
NZ_JH600068.1	Proteobacteria	G1
NZ_AFNE01000030.1	Firmicutes	G1
NZ_AIDA02000092.1	Proteobacteria	G1
NZ_AIDC02000107.1	Proteobacteria	G1
NZ_AJIN01000036.1	Bacteroidetes	G1
NZ_JH651384.1	Proteobacteria	others
NZ_CP017311.1	Proteobacteria	G5
NZ_AJWX01000011.1	Proteobacteria	G2
NZ_AJXW01000043.1	Proteobacteria	G2
NZ_JH724088.1	Bacteroidetes	G1
NZ_JH724245.1	Bacteroidetes	G1
NZ_JH724268.1	Bacteroidetes	G2
NZ_JH724283.1	Bacteroidetes	G2
NZ_AKJT01000025.1	Proteobacteria	G4
NZ_AKJK01000081.1	Proteobacteria	others
NZ_AKJH01000019.1	Proteobacteria	G4
NZ_AKIV01000010.1	Proteobacteria	G4
NC_015873.1	Firmicutes	G1
NC_016002.1	Proteobacteria	others
NZ_ALPT02000044.1	Firmicutes	G1
NZ_CAKP01000036.1	Firmicutes	G1
NZ_HF570108.1	Actinobacteria	others
NC_018680.1	Proteobacteria	G1
NZ_AMFD01000008.1	Firmicutes	G1
NZ_CALJ01000311.1	Proteobacteria	others
NZ_AMXB01000038.1	Proteobacteria	G2
NZ_JH980292.1	Cyanobacteria	others
NZ_BALG01000089.1	Firmicutes	G1
NZ_JH992901.1	Cyanobacteria	G6
NZ_JH993795.1	Cyanobacteria	others
NC_019683.1	Cyanobacteria	others
NZ_CAPH01000015.1	Bacteroidetes	G2
NZ_CAPH01000002.1	Bacteroidetes	G1
NZ_KI913951.1	Cyanobacteria	others
NZ_ALWB01000040.1	Cyanobacteria	G1
NZ_AONQ01000005.1	Proteobacteria	G2
NC_020453.1	Proteobacteria	others
NZ_KQ976354.1	Cyanobacteria	G5
NZ_ANNV01000066.1	Proteobacteria	others
NC_020520.1	Actinobacteria	others
NC_020829.1	Proteobacteria	others
NZ_AOUH01000022.1	Proteobacteria	G2
NZ_KB731310.1	Firmicutes	others
NZ_KB822482.1	Firmicutes	G2
NZ_KB822504.1	Firmicutes	G1
NZ_KB846715.1	Actinobacteria	others
NZ_KB849404.1	Proteobacteria	G1
NZ_KB849413.1	Proteobacteria	G1
NZ_AQYY01000020.1	Firmicutes	G6
NZ_APMQ01000026.1	Proteobacteria	G1
NZ_KB890348.1	Bacteroidetes	G1
NZ_KB892408.1	Proteobacteria	G1
NZ_KB892653.1	Firmicutes	G7
NZ_KB894220.1	Bacteroidetes	G1
NZ_KB894601.1	Firmicutes	G1
NZ_KB895376.1	Firmicutes	G2
NZ_AQWN01000009.1	Firmicutes	G1
NZ_AQYC01000008.1	Proteobacteria	G1
NZ_KB905957.1	Proteobacteria	others
NZ_KB906254.1	Proteobacteria	G2
NZ_KB911255.1	Proteobacteria	others
NZ_KB944445.1	Proteobacteria	G2
NZ_KB944451.1	Proteobacteria	G2
NC_021191.1	Actinobacteria	others
NZ_AQPL01000077.1	Proteobacteria	G2
NZ_KE159459.1	Bacteroidetes	G1
NZ_KE159487.1	Bacteroidetes	G1
NZ_KE159489.1	Bacteroidetes	G1
NZ_KE159636.1	Firmicutes	G1
NZ_KE159629.1	Firmicutes	G2
NZ_KE159646.1	Actinobacteria	others
NZ_KE159709.1	Firmicutes	G3
NZ_KE150296.1	Proteobacteria	G2
NZ_KE150426.1	Actinobacteria	others
NC_021499.1	Proteobacteria	others
NZ_ATLP01000118.1	Proteobacteria	G4
NZ_ATVV01000064.1	Firmicutes	others
NZ_ATWO01000001.1	Proteobacteria	G1
NZ_ATXD01000007.1	Firmicutes	G2
NZ_ATHI01000003.1	Proteobacteria	G2
NZ_KE384013.1	Bacteroidetes	others
NZ_AUJK01000014.1	Bacteroidetes	G1
NC_017559.1	Proteobacteria	others
NZ_KE386572.1	Proteobacteria	G8
NZ_ATYS01000063.1	Proteobacteria	G5
NZ_ATZH01000034.1	Bacteroidetes	G2
NZ_AUBR01000006.1	Firmicutes	G1
NZ_AUMW01000009.1	Firmicutes	G1
NZ_ALMY01000011.1	Firmicutes	G1
NZ_AUUR01000173.1	Firmicutes	G7
NZ_KE650771.1	Cyanobacteria	G6
NZ_AVEM02000294.1	Proteobacteria	G4
NZ_AURW01000005.1	Firmicutes	others
NZ_KI271554.1	Firmicutes	G7
NZ_KI271567.1	Firmicutes	G7
NZ_AXAA01000043.1	Firmicutes	G1
NZ_ASSJ01000041.1	Cyanobacteria	others
NZ_BATO01000096.1	Proteobacteria	G2
NZ_AXCA01000158.1	Proteobacteria	G1
NZ_ARWH01000001.1	Proteobacteria	G8
NZ_KI519017.1	Proteobacteria	G2
NZ_AWNH01000040.1	Cyanobacteria	G6
NZ_CM002268.1	Proteobacteria	G1
NZ_AXBU01000004.1	Proteobacteria	G1
NZ_AUTS01000033.1	Proteobacteria	G1
NZ_KI632513.1	Proteobacteria	G1
NZ_KI669458.1	Proteobacteria	G1
NZ_AOJA01000074.1	Proteobacteria	G1
NZ_CP007012.1	Proteobacteria	others
NZ_CBVI010000159.1	Bacteroidetes	others
NZ_AZVV01000003.1	Proteobacteria	G2
NZ_BAIV01000047.1	Bacteroidetes	others
NZ_AZRU01000034.1	Proteobacteria	G1
NZ_JAEW01000006.1	Bacteroidetes	G2
NZ_JAFA01000012.1	Proteobacteria	others
NZ_JAGQ01000004.1	Firmicutes	G2
NZ_CBXX010000030.1	Proteobacteria	G1
NZ_KK073874.1	Actinobacteria	others
NZ_JGDC01000303.1	Bacteroidetes	G1
NZ_BAIZ01000014.1	Bacteroidetes	G9
NZ_BAMF01000005.1	Bacteroidetes	G1
NZ_JHVC01000013.1	Firmicutes	G1
NZ_KK211357.1	Firmicutes	others
NZ_AVCC01000114.1	Proteobacteria	G1
NZ_AQRA01000003.1	Bacteroidetes	others
NZ_JFJO01000095.1	Proteobacteria	G1
NZ_JIAF01000004.1	Bacteroidetes	others
NZ_AXZZ01000186.1	Proteobacteria	others
NZ_JGWV01000017.1	Proteobacteria	G1
NZ_CP008696.1	Proteobacteria	G2
NZ_JNHG01000525.1	Bacteroidetes	others
NZ_CP013730.1	Proteobacteria	others
NZ_JNKJ01000010.1	Firmicutes	G2
NZ_KL370891.1	Proteobacteria	G5
NZ_JNIO01000008.1	Firmicutes	others
NZ_JONL01000001.1	Proteobacteria	others
NZ_JOOA01000001.1	Firmicutes	others
NZ_JNXT01000020.1	Actinobacteria	others
NZ_JNYY01000001.1	Actinobacteria	others
NZ_JNYY01000006.1	Actinobacteria	others
NZ_JOFV01000004.1	Actinobacteria	others
NZ_JOEQ01000007.1	Actinobacteria	others
NZ_BBIR01000031.1	Proteobacteria	G2
NZ_JNFS01000001.1	Firmicutes	G8
NZ_JIDJ01000049.1	Proteobacteria	G7
NZ_CP005997.1	Firmicutes	G8
NZ_JOKE01000009.1	Proteobacteria	G1
NZ_KN050642.1	Proteobacteria	others
NZ_JQNQ01000001.1	Bacteroidetes	G8
NZ_JQJY01000003.1	Bacteroidetes	G4
NZ_CP009048.1	Proteobacteria	G2
NZ_CP007786.1	Proteobacteria	G2
NZ_KN150910.1	Proteobacteria	G2
NZ_KN150980.1	Proteobacteria	G4
NZ_AWOR01000058.1	Proteobacteria	G1
NZ_AWTN01000095.1	Proteobacteria	others
NZ_JPMY01000012.1	Proteobacteria	G4
NZ_JMCH01000022.1	Proteobacteria	G1
NZ_JMFY01000017.1	Firmicutes	G1
NZ_JTST01000001.1	Proteobacteria	G2
NZ_JTLK01000158.1	Proteobacteria	G1
