DGR_ID	Length	TR_number	Pair_number
NZ_GG667666.1	2615	1	1
NZ_GG704787.1	1480	1	1
NZ_GG697151.2	39966	1	2
NZ_GG705175.1	1383	1	1
NZ_GG705227.1	1400	1	1
NZ_GG774949.1	72315	1	2
NZ_GG774796.1	44319	1	3
NZ_GL538303.1	2151	1	1
NZ_AAVW01000038.1	1845	1	1
NZ_AAYG02000016.1	1713	1	1
NZ_AAYG02000002.1	1338	1	1
NZ_ABBM01001082.1	11161	1	3
NZ_ABEA03000010.1	2946	1	1
NC_020449.1	2373	1	1
NZ_ACCL02000018.1	1229	1	1
NZ_CH724156.1	956924	1	2
NZ_CH902599.1	2289	1	1
NZ_DS264268.1	37783	1	2
NZ_DS264311.1	17128	1	2
NZ_DS362236.1	1726	1	1
NZ_DS480346.1	1299	1	1
NZ_DS499577.1	41442	1	2
NZ_DS499697.1	1768	1	1
NZ_DS981507.1	1624	1	1
NZ_DS981430.1	37755	1	2
NZ_GG692714.1	204146	1	2
NZ_GG666049.1	2110	1	1
NZ_EQ973215.1	27624	1	1
NZ_EQ973214.1	39014	1	2
NZ_KQ236096.1	1367	1	1
NZ_KQ235764.1	25069	1	2
NZ_EQ973486.1	1661	1	1
NZ_DS999412.1	4851	2	10
NZ_GG657758.1	2690622	1	1
NZ_GG730311.1	1338	1	1
NZ_JH636018.1	1318	1	1
NZ_JH636038.1	1255	1	1
NC_010172.1	1376100	1	1
NC_010322.1	2084784	1	2
NC_010524.1	1649	1	1
NC_010682.1	9775	1	3
NC_010814.1	2633	1	2
NC_011004.1	1440806	1	1
NC_010831.1	9264	1	1
NC_012781.1	386498	1	1
NC_011901.1	1646	1	1
NC_011891.1	2987129	1	2
NC_012724.2	2109	1	2
NC_013037.1	3668055	1	10
NZ_CP001621.1	772290	1	3
NC_012791.1	5108520	1	10
NC_012881.1	1441050	1	1
NC_013216.1	2005	1	1
NC_013729.1	2038004	1	1
NC_013959.1	3082	1	2
NC_009494.2	1854	1	1
NZ_GL379585.1	29239	1	1
NC_002967.9	1936530	1	7
NC_006908.1	178619	1	1
NC_007626.1	2291	1	2
NC_007204.1	2153	1	1
NC_009615.1	1473	1	1
NC_007908.1	1279702	1	1
NC_008530.1	133334	1	1
NC_009485.1	6831126	1	2
NC_008750.1	1689465	3	3
NC_008697.1	43097	1	1
NC_009036.1	2114	1	1
NC_009253.1	1710	1	1
NC_011420.2	93269	2	3
NC_009428.1	848342	1	3
NC_009633.1	1734	1	1
NC_016114.1	4997301	1	4
NC_015138.1	786405	1	1
NZ_KI391947.1	2118	1	1
NZ_KI391948.1	37735	1	2
NZ_ADKO01000109.1	1390	1	1
NC_014910.1	7685	1	3
NZ_ACFB01000013.1	41827	1	1
NZ_KE150239.1	3523	1	1
NZ_DS990118.1	1542	1	1
NZ_GL834313.1	1771	1	1
NC_015160.1	1434	1	1
NC_015172.1	2647654	1	7
NC_015312.1	4062254	1	2
NZ_GL890521.1	1533	1	1
NC_021021.1	1917552	1	4
NC_021030.1	1115948	2	3
NC_016776.1	2508	1	1
NZ_GL890865.1	1703	1	1
NZ_ADOP01000028.1	1612	1	1
NC_015572.1	2424915	1	1
NZ_GL945019.1	1592	1	1
NZ_GL945342.1	19892	1	2
NZ_CP007806.1	2715	1	1
NZ_GL949760.1	1644	1	1
NC_015856.1	2543	1	3
NZ_GL988634.1	1610	1	1
NZ_AFXI01000001.1	2778	1	2
NZ_JH114142.1	1177	1	1
NZ_JH114304.1	3129	1	1
NZ_AGFD01000005.1	3022	1	2
NZ_JH376870.1	21154	1	2
NZ_JH379027.1	49983	1	2
NZ_AESD01001019.1	1771	1	1
NZ_CM001374.1	1969	1	1
NZ_HG938370.1	3609	1	3
NC_016593.1	1947034	1	2
NZ_JH590868.1	21915	1	2
NZ_JH590875.1	2080	1	1
NC_019892.1	3944230	1	1
NZ_JH600068.1	1649	1	1
NZ_AFNE01000030.1	1735	1	1
NZ_AIDA02000092.1	1612	1	1
NZ_AIDC02000107.1	1607	1	1
NZ_AJIN01000036.1	2769	1	1
NZ_JH651384.1	2326127	1	1
NZ_CP017311.1	50953	1	1
NZ_AJWX01000011.1	2350	1	2
NZ_AJXW01000043.1	5086	1	2
NZ_JH724088.1	2122	1	1
NZ_JH724245.1	1389	1	1
NZ_JH724268.1	3569	1	2
NZ_JH724283.1	40069	1	2
NZ_AKJT01000025.1	4094	1	3
NZ_AKJK01000081.1	13915	1	4
NZ_AKJH01000019.1	9053	1	3
NZ_AKIV01000010.1	2836	1	3
NC_015873.1	1708	1	1
NC_016002.1	370404	1	4
NZ_ALPT02000044.1	1711	1	1
NZ_CAKP01000036.1	1709	1	1
NZ_HF570108.1	667855	1	1
NC_018680.1	1568	1	1
NZ_AMFD01000008.1	3366	1	1
NZ_CALJ01000311.1	4902	1	1
NZ_AMXB01000038.1	1959	1	2
NZ_JH980292.1	720395	1	3
NZ_BALG01000089.1	1689	1	1
NZ_JH992901.1	1883	1	1
NZ_JH993795.1	13971	1	3
NC_019683.1	9971	1	3
NZ_CAPH01000015.1	39487	1	2
NZ_CAPH01000002.1	2590	1	1
NZ_KI913951.1	76670	1	3
NZ_ALWB01000040.1	1782	1	1
NZ_KB442453.1	2074	1	1
NZ_AONQ01000005.1	4070	1	2
NC_020453.1	2453549	1	6
NZ_KQ976354.1	3679864	1	1
NZ_ANNV01000066.1	22157	1	1
NC_020520.1	4392464	2	6
NC_020829.1	2985753	1	1
NZ_AOUH01000022.1	2367	1	2
NZ_KB731310.1	1726	2	2
NZ_KB822482.1	41166	1	2
NZ_KB822504.1	1605	1	1
NZ_KB846715.1	486020	1	3
NZ_KB849404.1	1657	1	1
NZ_KB849413.1	1656	1	1
NZ_AQYY01000020.1	2027	1	1
NZ_APMQ01000026.1	1633	1	1
NZ_KB890348.1	2170	1	1
NZ_KB892408.1	1807	1	1
NZ_KB892653.1	17010	1	2
NZ_KB894220.1	2268	1	1
NZ_KB894601.1	1570	1	1
NZ_KB895376.1	27892	1	2
NZ_AQWN01000009.1	1691	1	1
NZ_KB899418.1	1658	1	1
NZ_AQYC01000008.1	1635	1	1
NZ_KB905957.1	1631	2	2
NZ_KB906254.1	2111	1	2
NZ_KB911255.1	17912	1	1
NZ_KB944445.1	2132	1	2
NZ_KB944451.1	2144	1	2
NC_021191.1	14036	2	4
NZ_AQPL01000077.1	2258	1	2
NZ_KE159459.1	1372	1	1
NZ_KE159487.1	1525	1	1
NZ_KE159489.1	1597	1	1
NZ_KE159636.1	1689	1	1
NZ_KE159629.1	37806	1	2
NZ_KE159646.1	1024261	2	4
NZ_KE159709.1	2212	1	1
NZ_KE150296.1	2060	1	2
NZ_KE150426.1	1837353	1	3
NC_021499.1	3548277	1	1
NZ_ATLP01000118.1	7067	1	3
NZ_ATVV01000064.1	1918	1	1
NZ_ATWO01000001.1	1637	1	1
NZ_ATXD01000007.1	38552	1	2
NZ_ATHI01000003.1	28140	1	2
NZ_KE384013.1	8508	6	38
NZ_AUIU01000012.1	1515	1	1
NZ_AUJK01000014.1	2322	1	1
NC_017559.1	8377	1	4
NZ_KE386572.1	1540615	1	1
NZ_ATYS01000063.1	2192	1	1
NZ_ATZH01000034.1	36791	1	2
NZ_AUBR01000006.1	1733	1	1
NZ_AUMW01000009.1	1695	1	1
NZ_ALMY01000011.1	8465	1	1
NZ_AUUR01000173.1	21715	1	2
NZ_KE650771.1	1852	1	1
NZ_AVEM02000294.1	9593	1	3
NZ_AURW01000005.1	30381	1	1
NZ_KI271554.1	32533	1	2
NZ_KI271567.1	25466	1	2
NZ_AWNK01000004.1	1623	1	1
NZ_AXAA01000043.1	1175	1	1
NZ_ASSJ01000041.1	2273	1	1
NZ_BATO01000096.1	2250	1	2
NZ_AXCA01000158.1	1626	1	1
NZ_ARWH01000001.1	139456	1	1
NZ_KI519017.1	2159	1	2
NZ_AWNH01000040.1	1853	1	1
NZ_CM002268.1	1648	1	1
NZ_AXBU01000004.1	1652	1	1
NZ_AUTS01000033.1	1925	1	1
NZ_KI632513.1	1639	1	1
NZ_KI669458.1	1519	1	1
NZ_AOJA01000074.1	1684	1	1
NZ_CP007012.1	816932	1	1
NZ_CBVI010000159.1	2056	2	2
NZ_AZVV01000003.1	3134	1	2
NZ_BAIV01000047.1	3171	2	3
NZ_AZRU01000034.1	1492	1	1
NZ_JAEW01000006.1	36593	1	2
NZ_JAFA01000012.1	96068	2	3
NZ_JAGQ01000004.1	17498	1	2
NZ_CBXX010000030.1	1606	1	1
NZ_KK073872.1	1678	1	1
NZ_KK073874.1	1344472	1	2
NZ_JGDC01000303.1	1337	1	1
NZ_BAIZ01000014.1	27090	1	1
NZ_BAMF01000005.1	1264	1	1
NZ_JHVC01000013.1	1746	1	1
NZ_KK211357.1	39876	1	3
NZ_AVCC01000114.1	1675	1	1
NZ_AQRA01000003.1	327371	1	1
NZ_JFJO01000095.1	1608	1	1
NZ_JIAF01000004.1	2319925	1	4
NZ_AXZZ01000186.1	21149	1	1
NZ_JGWV01000017.1	1628	1	1
NZ_CP008696.1	2446	1	2
NZ_JNHG01000525.1	1409	2	2
NZ_CP013730.1	49125	1	1
NZ_JNKJ01000010.1	36976	1	2
NZ_KL370891.1	269024	1	1
NZ_JNIO01000008.1	44428	1	3
NZ_JONL01000001.1	2822	1	2
NZ_JOOA01000001.1	1749	2	2
NZ_JMFO01000003.1	3567	1	1
NZ_JMFO01000010.1	3816	1	2
NZ_JNXT01000020.1	93214	1	4
NZ_JNYY01000001.1	6302	1	1
NZ_JNYY01000006.1	495714	1	2
NZ_JOFV01000004.1	134231	1	1
NZ_JOEQ01000007.1	243814	1	6
NZ_BBIR01000031.1	2367	1	2
NZ_JNFS01000001.1	2466745	1	1
NZ_JIDJ01000049.1	2867	1	2
NZ_CP005997.1	3359978	1	1
NZ_JOKE01000009.1	1609	1	1
NZ_KN050642.1	4789219	1	2
NZ_JQNQ01000001.1	985841	1	1
NZ_JQJY01000003.1	2054	1	3
NZ_CP009048.1	2339	1	2
NZ_CP007786.1	2120	1	2
NZ_KN150910.1	2093	1	2
NZ_KN150980.1	8589	1	3
NZ_AWOR01000058.1	2055	1	1
NZ_AWTN01000095.1	2056	1	1
NZ_JPMY01000012.1	3962	1	3
NZ_JMCH01000022.1	1626	1	1
NZ_JMFY01000017.1	1727	1	1
NZ_JTST01000001.1	2350	1	2
NZ_JTLK01000158.1	1729	1	1
NZ_JTLI01000008.1	1189	1	1
NZ_CP009747.1	2436345	1	6
NZ_KN639176.1	1557307	1	1
NZ_JUEH01000009.1	84366	1	1
NZ_JNFP01000001.1	136732	1	1
NZ_JWMA01000055.1	1657	1	1
NZ_CDBZ01000026.1	2819	1	2
NZ_CP010311.1	1672	1	1
NZ_CP010359.1	2673	1	2
NZ_CP010536.1	3085	1	2
NZ_JXQH01000052.1	2210	2	2
NZ_CP010892.1	2030347	1	6
NZ_JXXG01000003.1	2003	1	1
NZ_JYKO01000020.1	3058	1	3
NZ_JZRC01000006.1	2459	1	2
NZ_LANB01000001.1	50976	1	1
NZ_KQ031391.1	34047	1	1
NZ_KQ033902.1	3112	3	7
NZ_CP011974.1	3318228	1	1
NZ_BBSJ01000051.1	105703	1	1
NZ_LN831776.1	4746297	1	1
NZ_CP011304.1	2707755	1	2
NZ_JAIQ01000034.1	1590	1	1
NZ_CP011279.1	58036	1	2
NZ_JZEG01000001.1	47538	1	1
NZ_LASZ01000001.1	2387	1	2
NZ_LCZB01000052.1	7839	1	3
NZ_CP011773.1	4213213	1	1
NZ_LDZY01000004.1	38359	2	3
NZ_JYLD01000008.1	2366	1	2
NZ_LFMP01000013.1	935793	1	1
NZ_CVVJ01000131.1	68610	1	1
NZ_LN869529.1	1336	1	1
NZ_LFUK01000020.1	1604	1	1
NZ_CP008934.1	1642	1	1
NZ_CP011456.1	1297769	1	3
NZ_LIIO01000025.1	1625	1	1
NZ_LGLE01000005.1	2366	2	3
NZ_CYIG01000062.1	2905	2	3
NZ_CYTL01000001.1	6400	1	3
NZ_CYTC01000006.1	200835	2	10
NZ_CYTT01000010.1	7358	1	2
NZ_LKKS01000033.1	8731	1	3
NZ_BBDW01000001.1	25818	1	2
NZ_CP009429.1	527213	1	1
NZ_BCBB01000027.1	3476	1	2
NZ_BCBU01000003.1	2855	1	2
NZ_CDHG01000005.1	51985	1	6
NZ_COYP01000017.1	9286	2	2
NZ_LBNV01000021.1	8004	1	1
NZ_LN879468.1	915820	1	1
NZ_CZBV01000004.1	1561	1	1
NZ_CYXY01000005.1	31311	1	2
NZ_CZAZ01000002.1	51462	1	2
NZ_CYYC01000004.1	1556	1	1
NZ_CYXN01000005.1	1437	1	1
NZ_CYYL01000002.1	2150	1	1
NZ_CZBH01000002.1	2568	1	1
NZ_BCBX01000033.1	15147	1	2
NZ_BCFK01000064.1	5510	1	1
NZ_LMLT01000010.1	161622	1	14
NZ_LMLL01000016.1	5014	1	1
NZ_LMEC01000011.1	6136	1	3
NZ_LMQV01000044.1	384443	1	1
NZ_LMFF01000012.1	2669	1	2
NZ_LMGS01000009.1	910109	1	1
NZ_LMGM01000001.1	498237	1	1
NZ_LMJU01000001.1	651922	1	1
NZ_LMJF01000001.1	1491880	1	36
NZ_LDJG01000036.1	6228	1	2
NZ_KQ483358.1	3351760	1	7
NZ_AZFC01000002.1	1131	1	1
NZ_AZEI01000017.1	1212	1	1
NZ_LJYG01000108.1	597385	1	1
NZ_CP013118.1	2025231	1	2
NZ_CP013145.1	2924	1	1
NZ_CP013189.1	1685	1	1
NZ_CP012680.1	9101	1	3
NZ_LNVK01000025.1	85251	2	2
NZ_LOQE01000002.1	1499	1	1
NZ_CP013671.1	1124838	1	1
NZ_KQ948146.1	798749	1	1
NZ_LNQU01000005.1	2347	1	2
NZ_LOWF01000107.1	2491	1	3
NZ_LOWI01000016.1	80891	1	1
NZ_LOWP01000021.1	2585	1	3
NZ_LOXK01000134.1	8369	1	3
NZ_LPAG01000068.1	197722	1	1
NZ_LPAI01000116.1	2113	1	2
NZ_LPAT01000035.1	4036	2	4
NZ_LPCO01000006.1	10124	1	3
NZ_LPCQ01000232.1	2304	1	3
NZ_LPCN01000042.1	2033	1	2
NZ_LPFU01000034.1	2120	1	2
