CHROMOSOME	ARM	BAND	ABERRATION	CODE	ORGAN	TOTAL_CASES	GENE	CHR_ORDER	TYPE
10	p	11	add(10)(p11)	1101		4		10	U
10	p	11	add(10)(p11)	1108		2		10	U
10	p	11	add(10)(p11)	1509		2		10	U
10	p	11	add(10)(p11)	1602		5		10	U
10	p	11	add(10)(p11)	1702		2		10	U
10	p	11	add(10)(p11)	1802		2		10	U
10	p	11	add(10)(p11)	1808		5		10	U
10	p	11	add(10)(p11)	1820		2		10	U
10	p	11	add(10)(p11)	1908		2		10	U
10	p	11	add(10)(p11)	3111	0222	2		10	U
10	p	11	add(10)(p11)	3111	0401	4		10	U
10	p	11	add(10)(p11)	3121	0105	2		10	U
10	p	11	add(10)(p11)	3121	0107	3		10	U
10	p	11	add(10)(p11)	3121	0203	2		10	U
10	p	11	add(10)(p11)	3121	0212	2		10	U
10	p	11	add(10)(p11)	8310	0902	6		10	U
10	p	11	del(10)(p11)	1101		2		10	U
10	p	11	del(10)(p11)	1602		2		10	U
10	p	11	del(10)(p11)	1702		2		10	U
10	p	11	del(10)(p11)	1801		2		10	U
10	p	11	del(10)(p11)	1810		2		10	U
10	p	11	del(10)(p11)	1820		6		10	U
10	p	11	del(10)(p11)	1901		2		10	U
10	p	11	del(10)(p11)	1908		3		10	U
10	p	11	del(10)(p11)	1926		4		10	U
10	p	11	del(10)(p11)	3111	0107	2		10	U
10	p	11	del(10)(p11)	3111	0218	2		10	U
10	p	11	del(10)(p11)	3111	0227	2		10	U
10	p	11	del(10)(p11)	3121	0105	3		10	U
10	p	11	del(10)(p11)	3121	0212	2		10	U
10	p	11	del(10)(p11)	3135	0301	3		10	U
10	p	11	del(10)(p11)	5104	0801	5		10	U
10	p	11	del(10)(p11)	8310	0902	4		10	U
10	p	11	del(10)(p11)	8710	0901	2		10	U
10	p	11	del(10)(p11)	8810	0109	3		10	U
10	p	11	del(10)(p11p13)	1101		2		10	U
10	p	11	del(10)(p11p13)	1926		4		10	U
10	p	11	del(10)(p11p15)	1906		2		10	U
10	p	11	ins(10;11)(p11;q23q13)	1108		2	KMT2A+	10	B
10	p	11	t(10;11)(p11;q23)	1101		5	KMT2A+	10	B
10	p	11	t(10;11)(p11;q23)	1107		5	KMT2A+	10	B
10	p	11	t(10;11)(p11;q23)	1108		3		10	B
10	p	11	t(10;11)(p11;q23)	1109		3	KMT2A+	10	B
10	p	11	t(10;14)(p11;q32)	1926		2		10	B
10	p	11	t(X;10;11)(p11;p11;p15)	1602		2		10	B
10	p	11	t(X;10)(p11;p11)	1101		2		10	B
10	p	11	t(X;10)(p11;p11)	1103		2		10	B
10	p	12	add(10)(p12)	1801		2		10	U
10	p	12	add(10)(p12)	1802		3		10	U
10	p	12	add(10)(p12)	1808		5		10	U
