Head_gene_symbol	Head_gene_breakpoint	Tail_gene_symbol	Tail_gene_breakpoint
ARPC4	9845697	TTLL3	9852305
CLEC7A	10277896	EFCAB5	28401174
CTBS	85028940	GNG5	84967653
IGLV1-44	22735711	IGLL5	23235959
IGLV1-36	22786798	IGLL5	23235959
RP11-368D24__A.1	64808947	MSN	64936679
FAM117A	47793527	SLC35B1	47784430
FAM227B	49658131	SPPL2A	51031990
FUT4	94278984	PIWIL4	94301896
GNG5	84967653	CTBS	85028940
HLA-DPB1	33048711	HLA-DRB1	32546592
IFRD1	112112916	C7orf53	112124868
LRRC70	61874762	IPO11	61887404
LYST	235993526	TRAF3IP1	239308919
MIR3916	247365318	ZNF720	31733947
NCOR1	15933514	KLHL2	166243184
NCOR1	15933514	RAB10	26350013
PAK2	196557783	NAIP	70294551
PFDN5	53689423	INMT	30796045
RIMKLA	42883542	C5AR1	47824802
RUNX1	36260986	RUNX1T1	92967194
RUNX1	36231771	RUNX1T1	93029591
RUNX1	36231771	RUNX1T1	93074937
RUNX1	36231770	RUNX1T1	93029590
SEC31B	102276717	NDUFB8	102286156
SEPT7P2	45808616	CO9	55840871
SIRPB2	1453360	NSFL1C	1445071
TCRBV4S1A1T	142448742	TCRVB	142494521
TCRBV6S6A2T,TCRB	142099937	TCRVB	142494521
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
ZNF445	44481287	LINC00694	44463303
ZNF557	7076391	ZNF558	8932138
ZNF664	124489482	PTPLAD2	21008145
ADSL	40762503	SGSM3	40796701
ARF3	49333438	FKBP11	49318431
ARPC4	9845697	TTLL3	9852305
BC073801	144598779	NBPF24	146032541
BC110832,LOC728855	149576699	BC065231	145004780
CTBS	85028940	GNG5	84971984
DHRS1	24761402	RABGGTA	24740514
EIF4A1	7476182	DDX5	62500960
FAM117A	47793527	SLC35B1	47784430
FBXL19	30953857	ORAI3	30967521
FERMT3	63990988	ASXL1	31026531
