region	hit	repeat	cov_length	cov_percent
chr2-91603501-91605500	1	Satellite	1964	0.982
chr2-91603501-91605500	1	ALL	1964	0.982
chr10-38875501-38877500	2	Satellite	1891	0.946
chr10-38875501-38877500	2	LINE	57	0.029
chr10-38875501-38877500	2	ALL	1948	0.974
chr10-42600001-42602000	3	Satellite	1974	0.987
chr10-42600001-42602000	3	ALL	1974	0.987
chr2-90370501-90372500	4	ALL	0	0.000
chr16-34189501-34191500	5	Satellite	1966	0.983
chr16-34189501-34191500	5	ALL	1966	0.983
chr16-46438501-46440500	6	ALL	0	0.000
chr2-90381001-90383000	7	Satellite	1989	0.995
chr2-90381001-90383000	7	ALL	1989	0.995
chr16-46392001-46394000	8	ALL	0	0.000
chr7-61783501-61785500	9	Satellite	1928	0.964
chr7-61783501-61785500	9	ALL	1928	0.964
chr10-38886001-38888000	10	Satellite	1987	0.994
chr10-38886001-38888000	10	ALL	1987	0.994
chr10-42385501-42387500	11	Satellite	1960	0.980
chr10-42385501-42387500	11	ALL	1960	0.980
chr16-34183501-34185500	12	Satellite	1916	0.958
chr16-34183501-34185500	12	ALL	1916	0.958
chr10-42595501-42597500	13	ALL	0	0.000
chr16-46410001-46412000	14	ALL	0	0.000
chr2-90378001-90380000	15	Satellite	1954	0.977
chr2-90378001-90380000	15	ALL	1954	0.977
chr22-16861501-16863500	16	ALL	0	0.000
chr16-46453501-46455500	17	Satellite	1897	0.949
chr16-46453501-46455500	17	ALL	1897	0.949
chr16-46446001-46448000	18	Satellite	1946	0.973
chr16-46446001-46448000	18	ALL	1946	0.973
chr10-38877001-38879000	19	Simple_repeat	177	0.088
chr10-38877001-38879000	19	Satellite	1775	0.887
chr10-38877001-38879000	19	LINE	57	0.029
chr10-38877001-38879000	19	ALL	2009	1.004
chr16-46414501-46416500	20	ALL	0	0.000
chr7-61792501-61794500	21	Satellite	1923	0.962
chr7-61792501-61794500	21	ALL	1923	0.962
chr7-61749001-61751000	22	Satellite	1978	0.989
chr7-61749001-61751000	22	ALL	1978	0.989
chr7-61053001-61055000	23	ALL	0	0.000
chr10-38883001-38885000	24	ALL	0	0.000
chr7-61786501-61788500	25	ALL	0	0.000
chr16-34188001-34190000	26	ALL	0	0.000
chr16-46419001-46421000	27	Satellite	1970	0.985
chr16-46419001-46421000	27	ALL	1970	0.985
chr16-33880501-33882500	28	Satellite	1930	0.965
chr16-33880501-33882500	28	ALL	1930	0.965
chr16-34195501-34197500	29	ALL	0	0.000
chr16-46443001-46445000	30	Satellite	1952	0.976
chr16-46443001-46445000	30	ALL	1952	0.976
chr2-91602001-91604000	31	Satellite	1989	0.995
chr2-91602001-91604000	31	ALL	1989	0.995
chr10-42394501-42396500	32	Satellite	1910	0.955
chr10-42394501-42396500	32	ALL	1910	0.955
chr16-46413001-46415000	33	Satellite	1823	0.911
chr16-46413001-46415000	33	ALL	1823	0.911
chr16-46428001-46430000	34	Satellite	1989	0.995
chr16-46428001-46430000	34	ALL	1989	0.995
chr16-46384501-46386500	35	ALL	0	0.000
chr2-89832001-89834000	36	Satellite	1971	0.986
chr2-89832001-89834000	36	ALL	1971	0.986
chr22-16854001-16856000	37	Satellite	1845	0.922
chr22-16854001-16856000	37	LINE	47	0.024
chr22-16854001-16856000	37	ALL	1892	0.946
chr2-89833501-89835500	38	Satellite	1933	0.967
chr2-89833501-89835500	38	ALL	1933	0.967
chr7-61758001-61760000	39	ALL	0	0.000
chr10-38887501-38889500	40	ALL	0	0.000
chr16-46440001-46442000	41	Satellite	1938	0.969
chr16-46440001-46442000	41	ALL	1938	0.969
chr7-61750501-61752500	42	Satellite	1941	0.971
chr7-61750501-61752500	42	ALL	1941	0.971
chr16-34191001-34193000	43	Satellite	1888	0.944
chr16-34191001-34193000	43	ALL	1888	0.944
chr16-34194001-34196000	44	Satellite	1953	0.977
chr16-34194001-34196000	44	ALL	1953	0.977
chr16-46386001-46388000	45	Satellite	1938	0.969
chr16-46386001-46388000	45	ALL	1938	0.969
chr16-46389001-46391000	46	Satellite	1975	0.988
chr16-46389001-46391000	46	ALL	1975	0.988
chr7-61791001-61793000	47	Satellite	1979	0.990
chr7-61791001-61793000	47	ALL	1979	0.990
chr16-46411501-46413500	48	Satellite	1870	0.935
chr16-46411501-46413500	48	ALL	1870	0.935
chr7-61801501-61803500	49	ALL	0	0.000
chr16-46395001-46397000	50	Satellite	2000	1.000
chr16-46395001-46397000	50	ALL	2000	1.000
chr10-42393001-42395000	51	Satellite	1915	0.958
chr10-42393001-42395000	51	ALL	1915	0.958
chr2-89835001-89837000	52	Satellite	1972	0.986
chr2-89835001-89837000	52	ALL	1972	0.986
chr16-46432501-46434500	53	Satellite	2000	1.000
chr16-46432501-46434500	53	ALL	2000	1.000
chr16-46408501-46410500	54	Satellite	1970	0.985
chr16-46408501-46410500	54	ALL	1970	0.985
chr16-46455001-46457000	55	ALL	0	0.000
chr10-42384001-42386000	56	Satellite	1958	0.979
chr10-42384001-42386000	56	ALL	1958	0.979
chr16-46423501-46425500	57	Satellite	1912	0.956
chr16-46423501-46425500	57	ALL	1912	0.956
chr7-61756501-61758500	58	Satellite	2000	1.000
chr7-61756501-61758500	58	ALL	2000	1.000
chr16-46444501-46446500	59	Satellite	2000	1.000
chr16-46444501-46446500	59	ALL	2000	1.000
chr7-61795501-61797500	60	Satellite	1981	0.991
chr7-61795501-61797500	60	ALL	1981	0.991
chr16-33882001-33884000	61	Satellite	1941	0.971
chr16-33882001-33884000	61	ALL	1941	0.971
chr2-91599001-91601000	62	ALL	0	0.000
